"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPL37A",-4.95257576298306,3.65681419867096,-907.740868707537,2.90456247823879e-116,3.54198330923816e-116,254.58876043817
"CD109",-4.82772949742218,3.53458766775552,-13449.2199660214,1.72595282460624e-180,3.59170782800559e-179,404.577463778538
"CTSW",-4.77001603062104,3.49233316527612,-15480.834323492,7.67747535670189e-184,3.89678688226747e-182,412.245132404757
"HTRA2",-4.70499059884066,3.44472525986548,-15351.0931472708,1.21824789860814e-183,5.63371972667452e-182,411.787955627075
"IBTK",-4.69542517102121,3.43772200021196,-14796.7568485404,9.16232343572238e-183,3.49849450820886e-181,409.787647554784
"ITGA11",-4.6794304721102,3.42601159565211,-14862.3669459174,7.18778088244831e-183,2.79584523670559e-181,410.028477781444
"IL7R",-4.67696084475613,3.42420347562503,-13703.9303469466,6.16630791457285e-181,1.46652420231155e-179,405.602964706825
"LGALS8",-4.62904642032862,3.38912327202631,-14602.7736350254,1.88981696071485e-182,6.96054707123471e-181,409.068990870782
"H2AFY",-4.62209516818265,3.42320286910243,-1019.36964905566,5.01119857664058e-119,6.17973584473425e-119,261.066374676724
"SRP19",-4.57178936943273,3.34720293119182,-12880.735201149,1.84506577160131e-179,2.77226127848544e-178,402.213765545253
"FYTTD1",-4.56818932137699,3.34456718172244,-14129.4382983631,1.15211209174177e-181,3.21818156095922e-180,407.27251655123
"CD1C",-4.56606988641675,3.34301545255512,-11998.7490867144,9.03574097360109e-178,8.84864798403006e-177,398.323288317999
"SNRNP25",-4.55330870154333,3.33367244220137,-13069.5030390119,8.30580543190126e-180,1.41368881791573e-178,403.010476046558
"SNRPA1",-4.52996968323213,3.3165849466521,-11844.8300706206,1.83473185558988e-177,1.66728252903168e-176,397.614093455457
"KANSL1L",-4.52357730044883,3.31190480925718,-12734.1407586513,3.45718329737014e-179,4.82845533008541e-178,401.58663847163
"TOX3",-4.50540067023717,3.29859691928079,-13512.6529638491,1.33327757317501e-180,2.89015690601791e-179,404.834736454284
"IGF1R",-4.49661445050887,3.29216415126543,-12916.9854173061,1.58144466668418e-179,2.42877221503305e-178,402.367699965861
"BTN3A3",-4.49127009500307,3.28825131955582,-16323.6350284018,4.18984392653739e-185,3.41924125926444e-183,415.119751701304
"CYB5B",-4.47743951220052,3.27812535714681,-11697.8701400245,3.63937569618799e-177,3.11668346657087e-176,396.928023429372
"SNRPB",-4.47433103584284,3.27584950838493,-13392.67721764,2.17473531722922e-180,4.43688646583727e-179,404.347068389543
"ATF5",-4.473279955688,3.27507996755728,-12934.0262702849,1.47110173782171e-179,2.30177647850149e-178,402.439907932642
"MRGBP",-4.45724857023279,3.26334270320615,-14517.0055999916,2.61077330477579e-182,9.05503207873071e-181,408.748041556459
"FNDC1",-4.45504754725137,3.26173123995189,-12582.765316251,6.66256932888408e-179,8.72000426000489e-178,400.931145308696
"ATF3",-4.44309349406946,3.26524645686205,-1418.91514879708,6.6214333588537e-127,8.41735053132227e-127,279.535859825359
"SDK2",-4.44092315805531,3.2513901692905,-10780.4119411322,3.21364671037496e-175,1.88118109825324e-174,392.433203810516
"SERPINA3",-4.43899361860041,3.24997747076102,-13112.7507773675,6.92902244141105e-180,1.21681820258029e-178,403.191322273649
"ALDH1B1",-4.43544502239058,3.24737939139311,-13010.2352512476,1.06579017875445e-179,1.78145330280162e-178,402.761626493407
