"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MMAA",-2.71356249414942,1.98671539750226,-491.560803043561,1.38503493445363e-101,5.10110439978946e-101,222.515271176519
"IKZF2",-2.70692727844793,1.9818574717208,-323.068264302996,1.35066105680023e-91,4.62139855118123e-91,199.155113309999
"RANBP3",-2.68258526104198,1.96403563754859,-260.690020687611,1.71688072623955e-86,5.5122534207889e-86,187.203954368311
"TTI1",-2.67283271449513,1.95689538025536,-300.538455051239,7.08914115697759e-90,2.3777119423544e-89,195.128498355787
"CRYBG3",-2.67220601563135,1.95643654715867,-298.794620143909,9.75109498561462e-90,3.26439754234513e-89,194.804328064743
"FUBP1",-2.67050514200076,1.95519126467913,-476.574009043771,7.55851989642752e-101,2.773790171868e-100,220.79370813683
"RAC2",-2.66769641529679,1.95313487548515,-318.016863914757,3.20287008579181e-91,1.09326675559994e-90,198.277334359219
"IL10RB",-2.66444767033457,1.95075633006638,-284.990463140341,1.30154224097162e-88,4.2947281901441e-88,192.169273635838
"PRICKLE1",-2.66315000113643,1.94980625083203,-333.03338064347,2.55655560730218e-92,8.82791273111992e-92,200.847119837745
"NEBL",-2.66191796278586,1.94890422275394,-333.880400312502,2.22438719187532e-92,7.68836154401091e-92,200.988589794167
"TET3",-2.65835947790883,1.94629890346896,-298.23664723559,1.08025600859345e-89,3.61131507277679e-89,194.700203387049
"TFCP2L1",-2.65397989015182,1.94309241957544,-351.517764297912,1.32501051433474e-93,4.63136943129055e-93,203.8553780282
"DDX10",-2.65274633534712,1.94218928123628,-633.440289839717,1.27462477373181e-107,4.85228022187978e-107,236.597746798983
"NPDC1",-2.65253804782175,1.94203678501235,-414.473014770869,1.59011926435534e-97,5.72346661549497e-97,213.026870169189
"NPNT",-2.65151957633495,1.94129111838809,-261.521336723188,1.44211715712405e-86,4.63635141907299e-86,187.381339955123
"ZFAND5",-2.65145183815327,1.94124152436221,-251.588510636938,1.20254373098336e-85,3.82135722798899e-85,185.224001682968
"GUCY1A3",-2.6500799644462,1.94023711682668,-296.846045501019,1.3954923105728e-89,4.65642756951655e-89,194.439848372259
"TACSTD2",-2.64825509750194,1.9389010535282,-237.963220104193,2.53796704522272e-84,7.88239307819715e-84,182.121834194898
"NDUFB11",-2.64704228784279,1.93801310359919,-308.661074769963,1.64459234497587e-90,5.55517130163724e-90,196.614041741728
"SRSF10",-2.6457544366807,1.9370702125698,-285.64216722229,1.14845547954186e-88,3.79309323659799e-88,192.296523914578
"EHBP1L1",-2.64432983619047,1.93602720149659,-1805.93707225069,1.45980693844596e-132,1.2715827471152e-131,293.855649805643
"HMGCS1",-2.64092691264343,1.93353577532822,-319.647229852187,2.42025983802283e-91,8.26922111324466e-91,198.56216002609
"BNC2",-2.63880139272274,1.93197959110058,-205.656819827375,7.48783031806383e-81,2.20736287144907e-80,173.992853879622
"DLGAP1",-2.6351525250751,1.92930809871569,-675.362885950341,3.80082984590423e-109,1.46647485779777e-108,240.150532333534
"HYAL1",-2.63188287148684,1.92691424519572,-275.724750113446,7.95835042438997e-88,2.6007728780393e-87,190.327868532423
"ANKRD40",-2.63008315509233,1.9255965956926,-398.22353940564,1.42327519894299e-96,5.07936231578754e-96,210.800937653983
"IER5L",-2.62901293582203,1.92481304229827,-380.736875546186,1.66720511716949e-95,5.90851530347099e-95,208.301246930496
"EIF1AX",-2.6265457304587,1.92300669551441,-442.326696811796,4.50212626330861e-99,1.6328504708919e-98,216.645873459485
"SEPT9",-2.62549883337596,1.92224021729312,-337.456553053105,1.24075832274265e-92,4.30105436076098e-92,201.581941958462
"TTC39A",-2.62460299899428,1.92158433854939,-525.132846725558,3.70616654174699e-103,1.378508451972e-102,226.187308649281
"NID1",-2.62447374698496,1.92148970761399,-1661.50779984163,1.40838375860103e-130,1.02524589121018e-129,289.412558559676
"SHE",-2.62303256086593,1.92043455349112,-296.341104526958,1.53191380062593e-89,5.10685656713337e-89,194.345008533074
