"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"VASN",-2.31782269347636,3.29561306862459,-338.979542305221,3.26416573981583e-74,3.84641055474377e-74,159.023617325258
"BYSL",-2.31559348807958,3.36733025865795,-1279.9278480551,1.35604954456832e-98,8.96668715706131e-98,216.214090421882
"CKAP2",-2.31250790235124,3.69376326751148,-355.217855219979,4.52155100742326e-75,5.37471691877177e-75,161.045038453783
"RBCK1",-2.30262996472058,4.01134622921979,-1068.34479154796,2.80862125598927e-95,1.08682100327651e-94,208.487909065536
"MUC13",-2.29746735325917,3.65186484885141,-817.351273524128,2.3079003107086e-90,5.04438006630274e-90,196.990009767602
"CNOT7",-2.29438441187825,3.74948490411859,-950.758941276219,3.87702490281527e-93,1.14224238062918e-92,203.487086985766
"MND1",-2.28167727109173,3.14431748261557,-1257.66016165185,2.84695939671612e-98,1.77608014660859e-97,215.465123817824
"FAH",-2.27946692664582,3.47839445729817,-820.592931765349,1.95242913692021e-90,4.29266954076293e-90,197.160259674826
"CD3D",-2.27409343754902,4.00704730547578,-770.038916789498,2.86757443953506e-89,5.74491083460896e-89,194.424424689347
"LIN7B",-2.26985705208515,3.07894135043708,-739.263737980927,1.60703116642732e-88,3.04340415588891e-88,192.668644639532
"CPE",-2.25738827900195,3.61309478919279,-452.554308525602,1.62816922098156e-79,2.09132976329062e-79,171.504378391924
"CHMP1B",-2.25733648097389,4.05391340864791,-835.552574375978,9.09960178307286e-91,2.05899992925538e-90,197.937219072818
"MTMR9",-2.25629570808312,3.46148828660897,-670.566279367283,9.90635110864645e-87,1.64919027650309e-86,188.467505703737
"BET1",-2.25459272637304,3.65696152162054,-1273.52090970028,1.67639037457013e-98,1.09212812040722e-97,215.999974951436
"OPTN",-2.25197738632106,3.80565330700311,-950.666198699379,3.89304017266217e-93,1.14648247286656e-92,203.482899345223
"ACLY",-2.24852686868449,3.60618590004183,-873.168306631424,1.41539943096202e-91,3.46346180923556e-91,199.830311740165
"AVPI1",-2.24774316004477,3.73314612557684,-850.571233003879,4.28626617603594e-91,9.99836159343916e-91,198.703213983085
"SMARCA4",-2.24576911748197,3.67341066222019,-778.726244660543,1.78497468440345e-89,3.62852366760426e-89,194.907240290111
"TSHZ2",-2.24199235961192,3.49804412691339,-421.84029772399,3.17182292062766e-78,3.95539704493599e-78,168.469627141936
"SCAF11",-2.23097866239949,3.97738546168473,-740.104400733033,1.53167646637401e-88,2.90849669414716e-88,192.717578775059
"TMEM45A",-2.21820565161109,3.49647791658905,-430.125619557782,1.39446951064552e-78,1.7578978372329e-78,169.309564081342
"SRPRB",-2.21573674404978,3.80569424106512,-754.672717275206,6.72100219787566e-89,1.31369270748403e-88,193.556790646897
"CADPS",-2.21232184093519,3.41876960719028,-556.530530508719,2.60975532388344e-83,3.73835539498273e-83,180.430396669438
"LAMTOR5",-2.20793582836595,4.08295523844301,-1066.59668056379,3.0098706976598e-95,1.15898074519485e-94,208.417748424989
"MGST3",-2.20613018850232,4.09246201576503,-880.514014666767,9.93418189951581e-92,2.46764659072742e-91,200.190348255758
"HIBADH",-2.20354252206426,3.6487195849457,-605.476724322365,7.40822003475037e-85,1.12243831549897e-84,184.066068959568
"MMP3",-2.20013029519924,3.20656295088641,-247.747337634277,1.8416917859891e-68,2.05987130070558e-68,145.477053520173
"HOTAIRM1",-2.19369855591134,3.48969156321615,-447.247930092987,2.67995082217644e-79,3.42610657244932e-79,170.99512352437
"NDUFA2",-2.19315727435957,3.99416740023507,-1486.46080520766,2.43660270898144e-101,2.68863880169171e-100,222.581944773735
"ATG10",-2.18805342210208,3.24975571375901,-540.002806751236,9.32897165771109e-83,1.31342100970406e-82,179.129715882937
"CCDC50",-2.17134129871424,3.72615315662388,-679.416768320714,5.69224329890541e-87,9.64226965144399e-87,189.032496711974
"CYSTM1",-2.16878330374337,4.01420036925219,-804.474284630778,4.51490411992531e-90,9.62107812157892e-90,196.306908221352
