"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KLK11",-1.50634318588691,0.824902220842832,-1400.81840971517,1.25959666020401e-97,3.38337405250379e-96,213.275186098883
"WDR24",-1.50480647693119,0.824060689748035,-1411.96025498552,9.10087068634061e-98,2.52351316531031e-96,213.577497207146
"ZC3H8",-1.50446854606138,0.823875632366946,-1404.12512487023,1.14346832084886e-97,3.10317838987813e-96,213.365203210572
"ZNF317",-1.50210839369442,0.822583167975515,-1481.25115710577,1.27504826223342e-98,4.03220840945139e-97,215.395983668127
"FAM111A",-1.50064907282912,0.821784016073091,-1364.54727468251,3.69511835222496e-97,9.18140933427844e-96,212.27102517269
"CPNE7",-1.49739611143268,0.820002632451227,-1112.85955152892,1.58566135914796e-93,2.63233544068532e-92,204.324389278669
"RWDD3",-1.49566180444459,0.819052892910133,-1356.87544325801,4.65671652551964e-97,1.14732795519745e-95,212.054607141001
"RPL31",-1.49153987141024,0.816795643867511,-1319.50404483592,1.46443370452148e-96,3.38589460444196e-95,210.979508759335
"SCAMP1",-1.49070972835698,0.816341041719299,-601.431138854533,1.45743077891945e-82,1.44853477286631e-81,179.3712847806
"TSN",-1.49027247966319,0.816101596006032,-1045.77835981124,2.03176033006913e-92,3.11604445010402e-91,201.858754121469
"OSBPL7",-1.49006697719908,0.815989058942353,-1503.09251471184,6.99416543525099e-99,2.40028466708412e-97,215.94816119985
"FAM185A",-1.48908894094287,0.81545346765919,-1059.03718135441,1.21174361249261e-92,1.89254568702162e-91,202.359779972069
"DENND2D",-1.48853052552042,0.815147668737371,-1165.09940602237,2.41497644822016e-94,4.32829385438616e-93,206.132102654424
"GTF2B",-1.48695765321044,0.814286333900954,-1515.07732812924,5.04940340124025e-99,1.78078729169086e-97,216.247055331385
"CD99",-1.48693139473575,0.814271954260052,-1224.70212342679,3.11912046081808e-95,6.29831896745139e-94,208.085910235828
"KDSR",-1.48600139140754,0.813762666723178,-1504.7708361248,6.68118365241641e-99,2.3032026347722e-97,215.99019063224
"CCDC170",-1.48544060513499,0.813455569478685,-1454.31761580477,2.70685885881594e-98,8.18798057174639e-97,214.701443758194
"TNFRSF10A",-1.48038671914367,0.810687965245341,-1406.88485200207,1.05497260485769e-97,2.8938011989161e-96,213.440138105264
"TSPAN8",-1.48031660564304,0.810649569756903,-1418.96440937905,7.42884044468764e-98,2.1293226937526e-96,213.766097268149
"FAM160B2",-1.47901399879378,0.80993623743469,-1443.4567656732,3.68144946280151e-98,1.09626975637432e-96,214.417005011553
"ECM2",-1.47823835152144,0.809511478214122,-1477.9387813964,1.39769565381439e-98,4.34819708887867e-97,215.311387128806
"PICALM",-1.47728786268721,0.808990972423946,-973.825317781569,3.78350433995702e-91,5.38199976090912e-90,199.011721730882
"PROS1",-1.47587780077192,0.808218795660815,-1506.30037153043,6.40844761934176e-99,2.22926589231011e-97,216.028444805498
"CDC7",-1.47565450033752,0.808096512089594,-588.443735132078,3.56861096104867e-82,3.47905473693064e-81,178.470288072302
"KIN",-1.47339933971206,0.806861543175651,-1363.02045501526,3.86878631232343e-97,9.58181930362823e-96,212.228068423042
"ZFP3",-1.47234961776336,0.80628669544184,-1480.18612321445,1.31323212682277e-98,4.11892027318634e-97,215.368808011043
"ZRANB3",-1.4686910563376,0.80428319751821,-1113.98947380552,1.52100331620158e-93,2.53599964681714e-92,204.364489850028
"ANAPC5",-1.46812690409721,0.803974257005616,-1395.33500944581,1.47948221570401e-97,3.89088570336179e-96,213.125358975055
"JMY",-1.46603990958619,0.802831379059104,-1457.99434001297,2.44050495089461e-98,7.44110931840497e-97,214.797160282643
"CAPN7",-1.46596332221795,0.802789438357448,-1460.88135182325,2.25027502485089e-98,6.88854190607355e-97,214.872115998892
"DNAJC10",-1.4633385661053,0.801352071914806,-1404.86938381896,1.11887860207654e-97,3.04725193654511e-96,213.385429236099
"PTGER3",-1.46293360075196,0.801130305173695,-1356.53893898248,4.70434133958571e-97,1.15392064973877e-95,212.045081711004
"MARCH2",-1.46284634200061,0.801082520619379,-1106.01024629176,2.04269258636291e-93,3.38370700507258e-92,204.080330586885
"ZNF462",-1.45899740798416,0.798974771038945,-1397.10048628527,1.40469259798715e-97,3.7326779348596e-96,213.173674287782
"ZSCAN26",-1.45783707018351,0.798339347957635,-1450.27367322319,3.03442275425654e-98,9.10683817189227e-97,214.595832796279
"GNB1",-1.45102046521133,0.794606445234777,-1437.38060564053,4.37698364316856e-98,1.28341210042793e-96,214.256758028977
"DCXR",-1.4507687881083,0.794468622059307,-539.443550943762,1.2628697241144e-80,1.164426746825e-79,174.875493597609
"SOD3",-1.44358777950635,0.790536164967765,-501.603997136943,2.49423511063409e-79,2.20165874298532e-78,171.861409622161
"MINPP1",-1.43974547601856,0.788432046391116,-1193.25724602611,9.06676313662235e-95,1.70486334851525e-93,207.068943390468
"BRI3",-1.43646638115462,0.78663635158467,-1344.58959357482,6.76291854465834e-97,1.63270080827351e-95,211.705025935968
"RETNLB",-1.4350034597036,0.861753989302488,-23.1541687193943,3.58869018662939e-25,3.6643423613442e-25,44.4225776785327
"MAP4K1",-1.43152027225684,0.78392776814065,-1276.72939130573,5.65976215065935e-96,1.20989273013955e-94,209.704632622378
"JUN",-1.43085439738283,0.783563122376313,-1218.52215091677,3.83851359541032e-95,7.61040014136662e-94,207.888409407529
"COL5A2",-1.42990073371629,0.783040877987491,-1376.52565519024,2.58174085333738e-97,6.52081278897393e-96,212.606087143967
"SLC17A4",-1.42874007597211,1.06619624681077,-22.6135990846527,8.8298888717374e-25,9.00881742906364e-25,43.5019735968589
"DCUN1D3",-1.42376251460998,0.779679472286415,-1347.75379239577,6.14124206486365e-97,1.4967810675924e-95,211.795416393947
"AMIGO1",-1.42349126967478,0.779530933393334,-738.083736551044,3.28095496103754e-86,3.7088845371965e-85,187.782396977646
"LRBA",-1.42315221611184,0.779345261204105,-1392.54811125763,1.60594318644666e-97,4.18036843737288e-96,213.048943563337
"GIF",-1.42009411742921,0.805012007973944,-57.9776408873247,5.46027653800447e-41,6.60776349546936e-41,81.6989527569503
"USP36",-1.41869048483945,0.776901932173984,-775.81984057764,4.24286331672725e-87,4.93474665089873e-86,189.818022059566
"TDRD7",-1.41819046372523,0.776628111087626,-1202.56371299272,6.59231054044844e-95,1.2612738141513e-93,207.373076293169
"B3GNT6",-1.41576551069545,0.818753064545367,-36.3717348517142,7.66330306376474e-33,8.08927701337815e-33,62.4932290806887
"TUBAL3",-1.4138488322918,1.24024686155797,-27.7979338403273,3.08846265465039e-28,3.18158630987205e-28,51.6415137666001
"MISP",-1.41333300779397,0.773968075696698,-1138.47069546682,6.23499597202401e-94,1.07955710800678e-92,205.222293964906
"CCL24",-1.41188731214182,0.838542446011116,-24.1260716237127,7.43547421864405e-26,7.60337843336223e-26,46.0322682622178
"NRXN3",-1.41006815030176,0.7721801775462,-850.048589166353,9.99479708391026e-89,1.25599642172685e-87,193.532139381577
"MCOLN3",-1.4093518337818,0.771787908975748,-1155.95489384241,3.3365650954262e-94,5.92453194322429e-93,205.822333875344
"AMIGO2",-1.40787416804764,0.770978711073709,-500.159590495697,2.80742535668428e-79,2.47525648095678e-78,171.741778146035
"CDC42BPB",-1.39797651524356,0.765558567871473,-542.625540800639,9.92170074508892e-81,9.20373040026249e-80,175.118970963283
"CHST4",-1.39777144811069,1.16842842063333,-24.1525062921445,7.12937051502487e-26,7.2913367033924e-26,46.0752608952126
"SFTPB",-1.39618311122007,0.845131963424617,-19.3592442840164,3.03353159575405e-22,3.08267392143218e-22,37.5334339898489
"SLC13A2",-1.39175366639582,0.762150817311998,-1398.70289648579,1.3401650564136e-97,3.57361783161439e-96,213.217464583933
"WDR1",-1.39048634807802,0.761456809661775,-1312.03509682465,1.8484379039957e-96,4.19765438554275e-95,210.760385015187
"PLXNB1",-1.38920914918055,0.760757391217918,-1304.4073455192,2.34793607538165e-96,5.2694295556879e-95,210.535101247452
"ACAT1",-1.3857724047927,0.758875364529338,-869.438762792596,3.96229774024912e-89,5.08782963190042e-88,194.445368299741
"CPEB2",-1.38105974015593,0.756294619609202,-1147.7946282142,4.46187066297718e-94,7.79604935702382e-93,205.543563135339
"ZFPM2",-1.38084243925775,0.756175621498291,-1223.85066277911,3.20939451946565e-95,6.446586944218e-94,208.058766771125
"SLC35B4",-1.37808941106338,0.75466801082042,-1239.78047374756,1.88807230909261e-95,3.90524794094209e-94,208.563044283328
"ZNF189",-1.37797309423483,0.75460431350955,-773.111108957383,4.89745363357455e-87,5.68743742909652e-86,189.675427522728
"ZNF227",-1.37612508510018,0.753592308507241,-1256.93846081981,1.0743316614429e-95,2.25875280357762e-94,209.09796165294
