"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FRA10AC1",-3.57581521287839,1.95818452133817,-9199.10688045294,1.19684539661694e-136,1.14179050837256e-133,303.040791786405
"LDLRAD3",-3.37821298857611,1.84997377945835,-7424.35245615716,1.17687749693635e-132,2.19071440405323e-130,294.331888387873
"SCGB2A1",-3.33639968740263,1.82707601929192,-8196.45530415268,1.68954090446404e-134,6.78661904361555e-132,298.385970157247
"ZBTB44",-3.17700500177933,1.73978845335535,-6584.72453422032,2.02443795103508e-130,1.54505104422998e-128,289.349272159014
"AMIGO1",-3.12006449727212,1.70860674850616,-6732.70565935061,7.80387104342079e-131,7.03278881217241e-129,290.27674596086
"LYPLAL1",-3.11504997911031,1.70586070284612,-7748.6136840681,1.8811464132108e-133,4.78563647520828e-131,296.090086502754
"CST2",-3.10291906428047,1.69921758282026,-6448.232564048,4.97152430892363e-130,3.21548080726314e-128,288.473316607468
"SAR1A",-3.07897985197279,1.68610801417558,-6343.68561597595,1.00226288551051e-129,5.92966693195054e-128,287.788554925767
"SOX1",-3.04144192452574,1.66555153009743,-6244.49008818627,1.9704404095933e-129,1.08973921782725e-127,287.127376990654
"PTGR1",-3.02916496665735,1.65882843412188,-5528.31037057928,3.66223001828924e-127,1.24222842220371e-125,281.988175151603
"CCDC91",-3.01692823947947,1.65212736923876,-4035.85764322418,2.66204225407426e-121,3.95266663095229e-120,268.532979256333
"SPACA3",-2.99364726046323,1.63937826168224,-9024.38450240207,2.72424405651854e-136,1.89013005812268e-133,302.273485506607
"ID4",-2.99250183184551,1.63875100315349,-4612.39686936156,8.6671259478365e-124,1.70483260912083e-122,274.268808443767
"NOX4",-2.9841736974005,1.63419035810027,-7178.464256307,4.99015933555922e-132,6.68156071034876e-130,292.940212458026
"GLT8D1",-2.97134453668991,1.62716486533019,-6088.48854944483,5.83228322591888e-129,2.87174100517503e-127,286.064125491876
"RPS6KC1",-2.95299794062198,1.61711791986442,-5449.59240490704,6.77476002614581e-127,2.19088849659088e-125,281.380090927356
"ZNF112",-2.93396191323299,1.81806421464876,-78.6180833795403,5.3136838312303e-48,5.53563131312444e-48,96.2347154405123
"SCAMP1",-2.90217665157349,1.58928721395691,-4421.98053393522,5.28713168140744e-123,9.31902748094724e-122,272.4613757608
"CYP2E1",-2.87332429946288,1.57348711637253,-4533.06122821981,1.82418813183072e-123,3.36285116476619e-122,273.525422541192
"GLG1",-2.8674126068496,1.57024976089383,-5935.75795122488,1.73412080302783e-128,7.78518233453436e-127,284.994191352471
"HOXB8",-2.86703287035629,1.57004180995702,-6926.16972011064,2.31519834130631e-131,2.52422767726425e-129,291.455991863481
"ASXL2",-2.86651682285499,1.56975921251583,-6609.2886098164,1.72561368134692e-130,1.34386567510609e-128,289.504802590839
"GTF2H4",-2.86198389305194,1.56727689381415,-4715.05761216422,3.37142537952724e-124,7.10793328634031e-123,275.211096695108
"RMDN2",-2.84958591639464,1.56048752564468,-5543.93229662084,3.24475158648903e-127,1.11549297784163e-125,282.107751742154
"LRRC69",-2.84938205218638,1.56037588572111,-6119.04885783943,4.7051456582475e-129,2.37812395124138e-127,286.274723946928
"DOCK8",-2.84760688422454,1.55940376993249,-4945.53056002364,4.35350896663411e-125,1.04484215199219e-123,277.250224827656
"TMEM64",-2.84722497421625,1.55919462873747,-5972.66185960313,1.3293061878362e-128,6.11160531660595e-127,285.255420336081
