"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MALAT1",3.64804007624273,1.65030384401457,2239.18755138824,7.36633550222837e-109,3.68943697281821e-107,239.805251080123
"IGKC",3.6378294842001,1.64568476666195,3303.9567728125,5.34211391612776e-116,6.50448421994729e-114,255.61615287636
"FTH1",3.47875002046132,1.57372024735156,2281.31612945599,3.35088135895481e-109,1.82030185822607e-107,240.577997765512
"EEF1A1",3.42957084194732,1.55147252373808,1513.15148656994,1.14858979433351e-101,1.37247734815283e-100,223.337352430904
"RPS23",3.32602455646286,1.50463015649511,1260.19177735886,2.61501956640285e-98,1.63716916471072e-97,215.550957089225
"RPS15A",3.3185826419587,1.50126357612417,1080.75670624066,1.72386428388895e-95,6.89741052284631e-95,208.982722934173
"RPS27",3.31784574761928,1.50093021916111,1654.59025414984,2.63124497336767e-103,4.43480954699821e-102,227.122223981071
"S100A6",3.31147038162339,1.4980461250201,1488.39108954286,2.30657421721554e-101,2.55313904733168e-100,222.637046490751
"RPS24",3.30864329882631,1.4967672066119,1368.76766440512,7.95548825616539e-100,6.47254125173272e-99,219.074408609563
"TPSAB1",3.30808351068066,1.49651396911745,2821.35738500168,4.2241279869381e-113,3.7288489804696e-111,249.288930275447
"RPL15",3.30544508061684,1.49532039361238,1468.71127292544,4.04811402331117e-101,4.26683301979455e-100,222.071763731396
"LGALS1",3.30130985803362,1.49344969768188,1459.91984010721,5.21723318509803e-101,5.37870083987771e-100,221.816697669329
"RPL35A",3.2739244794928,1.48106107405627,1077.81452966177,1.93434174963727e-95,7.66572471152549e-95,208.865955812677
"IGHM",3.26428059727799,1.47669836543528,1881.42676611225,1.15402177043517e-105,3.20854399323353e-104,232.536290612763
"VIM",3.26107073775069,1.47524628612532,1233.83640233343,6.3881100246875e-98,3.77829422063175e-97,214.648595119713
"HLA-B",3.25539852407887,1.47268028470235,1191.88683828656,2.75555245309915e-97,1.4565652263313e-96,213.170738046806
"RPS29",3.24948415291451,1.47000473584228,1109.79000972461,5.62322080283086e-96,2.41258719985368e-95,210.117892786539
"RPS11",3.24739472405137,1.46905951802324,1913.38397057499,5.66360670365197e-106,1.69476231106738e-104,233.24325464276
"SAT1",3.24511232111912,1.46802700241103,1320.43978433653,3.63395333218669e-99,2.63628020222485e-98,217.542976528322
"CD74",3.23659597929625,1.4641743715864,1209.11853344955,1.50235707378577e-97,8.30825814806193e-97,213.784151657472
"SRGN",3.20797788728735,1.45122809186809,2629.03699831634,8.34608342087791e-112,6.6224765301393e-110,246.41620538661
"NACA",3.20647032340264,1.45054609868215,1067.36143114296,2.9200728995862e-95,1.12624548426422e-94,208.448456188578
"MT2A",3.18259118591163,1.43974363172193,1183.07844624014,3.77002919818905e-97,1.94300746874551e-96,212.853660414243
"SSR4",3.17442382328732,1.4360488724395,2174.87904053138,2.52384917125825e-108,1.17259360838327e-106,238.594824981226
"S100A10",3.16861909883034,1.43342292566135,1219.67757861263,1.04039148030906e-97,5.9588358750548e-97,214.155622864436
"HSPB1",3.15917859637147,1.42915222216805,1021.69981378223,1.85270150154224e-94,6.3513485455783e-94,206.574510519529
"HLA-DRA",3.15460004095646,1.42708097090887,2116.15634195769,8.02452566863434e-108,3.27567631629455e-106,237.455363590712
"CYBA",3.15278482205872,1.42625980045514,1703.68109026307,7.64817089214981e-104,1.43647294788197e-102,228.357406244319
"RPS21",3.15139847914258,1.42563264532641,1110.59881335332,5.45273950117044e-96,2.34943540922914e-95,210.149080630118
"CXCL8",3.14789072569564,1.42404580448136,1348.65965227152,1.48690049277188e-99,1.17192983035212e-98,218.444093859949
"HSP90AB1",3.14621972435611,1.42328987530395,1320.15007440891,3.6678070790958e-99,2.6566208812897e-98,217.533623017223
"RPL38",3.14086923301066,1.42086941493339,1064.02793227875,3.33273601379117e-95,1.27358126241306e-94,208.314438505258
"FOS",3.12930343072581,1.41563726628072,865.228415753713,2.08220524607172e-91,5.00154198903351e-91,199.437686237207
"S100A4",3.12881046344874,1.41541425727443,2579.77636932958,1.85622966965093e-111,1.44051581616207e-109,245.642597198846
"CST3",3.12818646406817,1.41513197184036,886.669084833174,7.40098929239643e-92,1.87265447448598e-91,200.489692711547
"HMGB1",3.12648652744975,1.41436295289393,1318.30325636435,3.89133960719993e-99,2.80414697000469e-98,217.473947354267
"IFITM3",3.12160193524287,1.4121532564194,867.131560903307,1.89758126320856e-91,4.57206376007466e-91,199.532127728768
"YBX1",3.12052603849081,1.41166654122203,1400.97027142171,2.97772053581287e-100,2.62530117651817e-99,220.064214076769
"NPM1",3.11718587817452,1.41015551631704,956.422718200351,3.01644341810548e-93,9.03397939722685e-93,203.742042762435
"EEF1D",3.11625791550196,1.40973572367946,1167.73167943644,6.5459455365431e-97,3.24631091145136e-96,212.295403957216
"PFDN5",3.09910728252159,1.40197710399786,1179.11824161015,4.3439150472197e-97,2.21492621396863e-96,212.710315832264
"DUSP1",3.09907715353597,1.40196347421865,1416.0779560848,1.89247613204495e-100,1.73567096681837e-99,220.520508949146
"HSPA6",3.09840100413291,1.40165759710775,1188.7799501442,3.0768850871491e-97,1.60598392353636e-96,213.059173350906
"HNRNPA1",3.09481522923902,1.40003546084622,962.579768594833,2.30000182505114e-93,7.01019114739369e-93,204.017470041672
