"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LCK",3.81154859161986,1.98863404780167,7955.38086680992,1.46715567359025e-142,6.94139247210927e-142,317.420411761296
"FERMT3",3.81128290724964,1.98849542986939,10193.3833744622,1.67875868986666e-147,1.8668768260141e-146,328.680960114512
"LGALS9",3.81078052590392,1.98823331786292,7066.81425873943,3.36863862892276e-140,1.19125119612775e-139,311.987003849004
"SCCPDH",3.81035028374403,1.98800884369254,7465.32437859363,2.71571271708438e-141,1.09339842049317e-140,314.50716190355
"ZMYM2",3.80978566814066,1.98771426163861,8928.35024777793,7.35207092860879e-145,4.89428341061835e-144,322.683366438656
"ARFGAP3",3.80932458537101,1.98747369671531,8921.56015138048,7.61334634147064e-145,5.04420657509123e-144,322.648777278323
"PCGF5",3.80910293333651,1.98735805217558,13040.4499192949,2.06469842433969e-152,9.98707622458576e-151,339.649895524323
"NIT2",3.80899818920808,1.98730340306508,7380.34532966405,4.59302934299407e-141,1.79592899748389e-140,313.981707090284
"HELLS",3.80899474481137,1.98730160598854,12847.1135523014,4.09837272205484e-152,1.72065286232901e-150,338.992989231719
"TOP2A",3.80859625426968,1.98709369787983,6979.74811921285,5.95082610022738e-140,2.03670777512483e-139,311.416738393527
"ACADM",3.80836898731071,1.98697512381428,7691.39792042393,6.90517110648144e-142,2.99642839043489e-141,315.875214907349
"THYN1",3.80810693426415,1.98683840048565,7844.28268852966,2.79783586164552e-142,1.27319938519751e-141,316.776753948138
"TSN",3.80797950588714,1.98677191611503,7538.20928462232,1.73863302622517e-141,7.1883590211593e-141,314.952887451738
"MGEA5",3.80724778460759,1.98639014849092,7178.12225128701,1.64407775929937e-140,5.98846016907516e-140,312.705509387291
"MRPL16",3.80704120875221,1.98628236978377,8295.62589011972,2.14603287524437e-143,1.14803630302129e-142,319.334483056237
"RAB11B",3.80695271807059,1.98623620073248,7424.53246715615,3.49225931414484e-141,1.38429556882177e-140,314.255714157626
"GTF2E2",3.80687924304224,1.98619786593508,10677.2740729697,1.99740539434739e-148,2.84280928244875e-147,330.766118817278
"METTL7A",3.80671036829661,1.98610975737214,7228.26627115387,1.19440854430928e-140,4.41879183857188e-140,313.02541799182
"APOBEC3G",3.80635428369097,1.98592397409964,6645.95948371903,5.64191120615442e-139,1.76026611695851e-138,309.159979353796
"CHST2",3.80626435528128,1.98587705492937,9875.77162160676,7.17781298656744e-147,7.01203552554688e-146,327.253355561542
"IGFBP2",3.80600399932308,1.98574121703813,7818.73451597119,3.24976616862923e-142,1.46823204365829e-141,316.627387157452
"SEPT1",3.8053996252455,2.01655337498944,269.33774614092,4.46927446354295e-75,4.73414570663501e-75,159.228791336915
"TDP2",3.80520039825768,1.98532194691705,7394.643845349,4.20258563199922e-141,1.64885336452289e-140,314.070559779645
"FYN",3.80450530405994,1.98495928907475,7425.77852967779,3.46546250930584e-141,1.37446124867365e-140,314.263416395528
"CFD",3.80406566847526,1.9847299139871,8453.51478581452,9.03231062077911e-144,5.12869619981235e-143,320.194812166282
"GTPBP4",3.80325818082428,1.98430861608224,5963.67478625182,8.14214236263044e-137,2.11965369673748e-136,304.158403916464
"MEF2C",3.80310570897301,1.98422906555113,8313.08015339381,1.94866998194226e-143,1.048129880645e-142,319.430435148078
"WDR74",3.80304388864433,1.98419681146661,6945.39529415601,7.46330504503139e-140,2.52315156385543e-139,311.189700029528
"LBR",3.80281002503834,1.98407479567218,7506.7566896895,2.1064720670241e-141,8.63691006971291e-141,314.761094126213
"NAPRT",3.80278705775323,1.98406281274081,8922.83873582018,7.56343267647863e-145,5.01594092264647e-144,322.65529259907
