,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
RP11-34P13.7,0.000407009815130914,0.0122515540169462,3.89853328810201,0.00314260597808332,0.997492567336624,NA,NOT_CHANGE
AL627309.1,0.00204355282295556,0.0266078396319962,3.89853328810201,0.00682508976214235,0.994554408530347,NA,NOT_CHANGE
AP006222.2,0.037559489838272,-0.0390446279028102,0.694465228691343,-0.0562225814766656,0.955164492195288,NA,NOT_CHANGE
RP11-206L10.3,0.00163553302047836,0.00784473814971082,3.89853328810201,0.00201222807912203,0.998394475366333,NA,NOT_CHANGE
RP11-206L10.4,0.000407712991933757,0.0209224283475307,3.89853328810201,0.0053667435420865,0.995717978741074,NA,NOT_CHANGE
RP11-206L10.9,0.0153462389288716,-0.0218403901199331,1.26693983904419,-0.0172386955140744,0.986246192213502,NA,NOT_CHANGE
NCRNA00115,0.00937270708832626,-0.0344928577132023,1.76485335303013,-0.0195443194495342,0.984406881977106,NA,NOT_CHANGE
FAM41C,0.0116343795505697,-0.0678967960733804,1.48357180139087,-0.0457657634161865,0.963496947039888,NA,NOT_CHANGE
SAMD11,0.000407034969432626,0.0122515540169462,3.89853328810201,0.00314260597808332,0.997492567336624,NA,NOT_CHANGE
NOC2L,0.0938109118426314,-0.204073167605122,0.3625147277273,-0.56293759121046,0.573477381550394,NA,NOT_CHANGE
KLHL17,0.00366807986031878,-0.00238049665486109,3.22402662735771,-0.000738361350573602,0.999410872931614,NA,NOT_CHANGE
PLEKHN1,0.000812405376487155,0.0136729068380621,3.89853328810201,0.00350719253309716,0.997201670962841,NA,NOT_CHANGE
PERM1,0.00081414466988776,0.0223437811686471,3.89853328810201,0.00573133009710045,0.995427085237967,NA,NOT_CHANGE
RP11-54O7.17,0.00122308321757641,0.0237651339897636,3.89853328810201,0.00609591665211446,0.9951361923427,NA,NOT_CHANGE
HES4,0.0138688017469636,0.00857840568821628,1.51348668062311,0.00566797567368383,0.995477633933191,NA,NOT_CHANGE
ISG15,0.345786073461724,-0.295677416101233,0.228109415213127,-1.29620873309844,0.194903581618075,0.274701062497939,NOT_CHANGE
RP11-54O7.11,0.000415339461070395,0.0209224283475312,3.89853328810201,0.00536674354208661,0.995717978741074,NA,NOT_CHANGE
AGRN,0.00166073214765758,0.000595216640242389,3.89853328810201,0.000152677070132744,0.999878181323426,NA,NOT_CHANGE
C1orf159,0.0034652939826105,-0.00238059019884146,3.23116728359825,-0.000736758573573578,0.999412151762288,NA,NOT_CHANGE
RP11-465B22.8,0.000406202671690973,0.0209224283475307,3.89853328810201,0.0053667435420865,0.995717978741074,NA,NOT_CHANGE
TTLL10,0.000814466982111647,0.0136729068380625,3.89853328810201,0.00350719253309727,0.997201670962841,NA,NOT_CHANGE
TNFRSF18,0.00895802509966131,-0.00990548309719574,2.30584716392644,-0.00429581077712388,0.996572449446803,NA,NOT_CHANGE
TNFRSF4,0.0089678630415847,0.033451839805101,2.06073812792923,0.0162329406884492,0.987048556053055,NA,NOT_CHANGE
SDF4,0.0667592621902231,-0.0782854496882873,0.458878861543616,-0.170601560126226,0.864537071107793,NA,NOT_CHANGE
B3GALT6,0.0213169673426792,0.0587573216244851,1.06609636932773,0.0551144561739166,0.956047279288854,NA,NOT_CHANGE
C1QTNF12,0.00124239393050226,0.0237651339897632,3.89853328810201,0.00609591665211436,0.9951361923427,NA,NOT_CHANGE
UBE2J2,0.0794066906256065,-0.222144121485296,0.399203101480623,-0.556468926873,0.5778903307947,NA,NOT_CHANGE
RP5-902P8.10,0.000812937813922923,0.0136729068380623,3.89853328810201,0.00350719253309722,0.997201670962841,NA,NOT_CHANGE
ACAP3,0.0147802387582296,0.00132984872956258,1.31337073477687,0.00101254633923947,0.999192105046872,NA,NOT_CHANGE
PUSL1,0.0144884748266445,-0.0246833712426031,1.3136547910959,-0.0187898460157948,0.98500875409999,NA,NOT_CHANGE
INTS11,0.0472452638736863,-0.12632675753818,0.615690869101465,-0.20517887121266,0.837432376595845,NA,NOT_CHANGE
CPTP,0.0197757628877103,-0.0654805669872711,1.06658022665166,-0.06139300668721,0.951046221710876,NA,NOT_CHANGE
TAS1R3,0.00121995313009359,0.00642338532859494,3.89853328810201,0.0016476415241082,0.998685372860984,NA,NOT_CHANGE
DVL1,0.00204197924216481,0.000595216640242172,3.89853328810201,0.000152677070132689,0.999878181323426,NA,NOT_CHANGE
MXRA8,0.000815745377533331,0.0223437811686471,3.89853328810201,0.00573133009710047,0.995427085237967,NA,NOT_CHANGE
AURKAIP1,0.3148756559573,-0.870205356985934,0.155205874517648,-5.60678105574532,2.06124137018007e-08,8.24920671810746e-08,NOT_CHANGE
CCNL2,0.0524913991324228,-0.133862059163159,0.557089874124572,-0.240288085245695,0.810106931072394,NA,NOT_CHANGE
MRPL20,0.275262896356331,-0.567260600405031,0.166176173597758,-3.41360971385782,0.000641083404312153,0.00166921984121437,NOT_CHANGE
RP4-758J18.13,0.00123435097593398,0.0150942596591786,3.89853328810201,0.00387177908811116,0.996910774961019,NA,NOT_CHANGE
ANKRD65,0.000815975597151005,0.00642338532859472,3.89853328810201,0.00164764152410814,0.998685372860984,NA,NOT_CHANGE
VWA1,0.00122418438089018,0.0237651339897634,3.89853328810201,0.0060959166521144,0.9951361923427,NA,NOT_CHANGE
