,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
RP11-34P13.7,0.00042934059829774,-0.00556337754921627,3.03788083241261,-0.00183133501810141,0.998538806880155,0.999991486976558,NOT_CHANGE
AL627309.1,0.0170829912207094,-0.0536748670010179,0.474332445885755,-0.113158750717099,0.909904697712679,0.999991486976558,NOT_CHANGE
RP11-34P13.9,0.000109825295775025,-0.00560788531854717,3.03788083241261,-0.00184598594477899,0.998527117151717,0.999991486976558,NOT_CHANGE
AP006222.2,0.184532151976013,0.0606338600634477,0.0894521490103284,0.677835700251838,0.497875872659874,0.999991486976558,NOT_CHANGE
RP4-669L17.2,0.000106572222962442,-0.00560788531854717,3.03788083241261,-0.00184598594477899,0.998527117151717,0.999991486976558,NOT_CHANGE
RP5-857K21.15,0.000322211213105362,-0.00319760029140897,3.03788083241261,-0.00105257594613068,0.999160166058587,0.999991486976558,NOT_CHANGE
RP11-206L10.3,0.0114221063663231,-0.01782910126956,0.630333234202831,-0.0282851994819979,0.97743468498035,0.999991486976558,NOT_CHANGE
RP11-206L10.9,0.017114698341118,0.0110934828444588,0.472353132412958,0.0234855706106765,0.981262948296192,0.999991486976558,NOT_CHANGE
FAM87B,0.00102692489543371,-0.0040424074141984,2.64203662390263,-0.00153003458681327,0.998779209502,0.999991486976558,NOT_CHANGE
NCRNA00115,0.01704050736887,0.00689734587729372,0.461001430834739,0.0149616582855386,0.988062769212232,0.999991486976558,NOT_CHANGE
FAM41C,0.0253129125387468,0.0105983817061318,0.343853325723904,0.0308223911570997,0.975411183340787,0.999991486976558,NOT_CHANGE
RP11-54O7.1,0.000533403991222014,-0.00221568317282126,3.03788083241261,-0.000729351576000306,0.999418061689706,0.999991486976558,NOT_CHANGE
SAMD11,0.000980685736932623,-0.0031060980183875,2.76972834795467,-0.00112144500404931,0.999105216533032,0.999991486976558,NOT_CHANGE
NOC2L,0.13025854778718,0.0937362874746964,0.109231438299842,0.858143854312243,0.390813034231733,0.999991486976558,NOT_CHANGE
KLHL17,0.00622124810074377,-0.00662375810352292,0.903961009684746,-0.00732748208446838,0.994153567493059,0.999991486976558,NOT_CHANGE
PLEKHN1,0.00602950360629726,-0.0156850608587546,0.914297948943405,-0.0171553057478481,0.986312717782725,0.999991486976558,NOT_CHANGE
PERM1,6.17086962472225e-05,-0.00417951740999602,3.03788083241261,-0.00137580031626084,0.99890227051521,0.999991486976558,NOT_CHANGE
RP11-54O7.17,0.0222828438667593,0.0142159195659502,0.41343689837988,0.0343847383280437,0.972570353325926,0.999991486976558,NOT_CHANGE
HES4,0.268187163836242,0.299983380791784,0.0983845188686997,3.04909130258725,0.00229534710669226,0.0443537572583168,NOT_CHANGE
ISG15,4.15042574503879,0.95673496372129,0.0669328650882668,14.2939490556636,2.38681764841612e-46,1.49582507112089e-43,NOT_CHANGE
AGRN,0.0343245083789699,-0.0505580561079984,0.304799719435789,-0.165873040177287,0.868256864376673,0.999991486976558,NOT_CHANGE
RP11-54O7.18,0.000106274272746754,-0.00560788531854717,3.03788083241261,-0.00184598594477899,0.998527117151717,0.999991486976558,NOT_CHANGE
RNF223,0.000489503639690383,-0.0036440510813719,3.03788083241261,-0.00119953720451828,0.999042908013931,0.999991486976558,NOT_CHANGE
C1orf159,0.0121892855433657,-0.00327811911241954,0.574240012716638,-0.00570862189994613,0.99544520346148,0.999991486976558,NOT_CHANGE
RP11-465B22.5,0.000106310596993651,-0.00417951740999602,3.03788083241261,-0.00137580031626084,0.99890227051521,0.999991486976558,NOT_CHANGE
RP11-465B22.8,0.00303833251453202,-0.00849899786596906,1.40315348620677,-0.00605706927254616,0.995167187494849,0.999991486976558,NOT_CHANGE
TTLL10,0.000288097970531769,-0.00748270401706126,3.03788083241261,-0.00246313283168474,0.998034706329639,0.999991486976558,NOT_CHANGE
TNFRSF18,0.0851066699229196,-0.139765419795862,0.255441234674095,-0.547152929221399,0.584273671501596,0.999991486976558,NOT_CHANGE
TNFRSF4,0.102826637977989,-0.0638455912802866,0.255797377382987,-0.249594393552734,0.802901034691673,0.999991486976558,NOT_CHANGE
SDF4,0.452206302429036,0.115857992452356,0.0602019911276739,1.92448771680407,0.0542934789151611,0.690596373606559,NOT_CHANGE
B3GALT6,0.0730782479959573,0.136230519833233,0.168114249895101,0.810344869148434,0.417741994095263,0.999991486976558,NOT_CHANGE
C1QTNF12,0.00309025802959799,-0.000866363539339576,1.45610262059206,-0.00059498796794096,0.999525268314526,0.999991486976558,NOT_CHANGE
RP5-902P8.12,0.000656519737347847,-0.0045814604306291,3.03788083241261,-0.00150811064797121,0.998796702254131,0.999991486976558,NOT_CHANGE
UBE2J2,0.178651864296783,0.0140988814634035,0.0848918536686716,0.166080499530976,0.868093600145871,0.999991486976558,NOT_CHANGE
