"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPP1",2.5697883301501,1.28489416507505,991.314509611123,0,0,839.504867351719
"FTH1",2.56813342881112,1.28406671440556,535.232850870577,4.61585869096772e-317,3.1394191201776e-315,717.723796705443
"CCL3",2.54343802022181,1.27171901011091,299.502813924536,8.4176701584812e-267,1.61251673694833e-265,601.930261595872
"CXCL8",2.50949989848278,1.25474994924139,748.330596833659,0,0,784.205997590848
"FCER1G",2.4288589405895,1.21442947029475,1437.02088297936,0,0,911.234359595533
"TYROBP",2.42806176934605,1.21403088467303,811.37150610573,0,0,800.170338599516
"S100A9",2.41497919460408,1.20748959730204,753.5867132827,0,0,785.589042252866
"CCL4",2.39843896175699,1.19921948087849,335.29105411613,1.44573671764856e-276,3.44629233321146e-275,624.468004832971
"HLA-DRA",2.3958629471243,1.19793147356215,693.958314063183,0,0,769.283909814563
"C1QA",2.37255482526711,1.18627741263355,287.745549661075,2.44713195910497e-263,4.37152115152402e-262,593.933614902094
"APOE",2.35861519904573,1.17930759952287,288.910443967672,1.09464663322313e-263,1.9747044687176e-262,594.740355882981
"APOC1",2.35652759595776,1.17826379797888,681.842388910484,0,0,765.795567916744
"CD74",2.34876356919873,1.17438178459937,553.402288861744,5.9208826997615e-320,4.34598422510857e-318,724.364195207546
"S100A8",2.33739243724969,1.16869621862485,244.300235625416,3.44196518963582e-249,4.66916906374477e-248,561.254300119292
"MMP12",2.3371075570328,1.1685537785164,646.744110992078,0,0,755.32063940397
"CCL18",2.33053962102565,1.16526981051282,699.301639720802,0,0,770.802556492395
"IGKC",2.30012180722246,1.15006090361123,121.716119707991,3.13944859936404e-189,1.69637771074237e-188,422.622512029759
"LYZ",2.29803733352845,1.14901866676422,879.755017358602,0,0,816.098685124659
"SRGN",2.29056884724955,1.14528442362478,1606.10601693059,0,0,932.269827024823
"TMSB10",2.27619721862225,1.13809860931113,382.775133062481,4.97406692459027e-288,1.4869050461875e-286,650.905962895858
"FTL",2.25579246804323,1.44434357998632,112.952558441901,7.61842513617855e-183,3.77156559245808e-182,407.853298701054
"SAT1",2.2532045350338,1.1266022675169,402.494455342205,2.22779300436506e-292,7.40616297661901e-291,660.929021835728
"RPL10",2.24801524210662,1.12400762105331,378.568025706575,4.50218387774743e-287,1.31664458294598e-285,648.700433967393
"RPLP1",2.24248645627818,1.12124322813909,356.690210417134,6.39690231074231e-282,1.70587896693123e-280,636.819112910046
"CTSB",2.23758017252729,1.11879008626365,456.392183842977,2.9241979731183e-303,1.31784447864514e-301,685.989537132716
"AIF1",2.23139086557449,1.17198481686126,88.8424488336078,1.93820346635981e-162,7.56455456586388e-162,360.649927149319
"MT-ATP6",2.22776155038692,1.11388077519346,401.850305646772,3.06580156448873e-292,1.01014755103721e-290,660.60948503181
"IL1RN",2.22249982132148,1.11422460013898,479.518588412122,1.53142171028265e-307,7.6710776007976e-306,695.839372039214
"HLA-DPB1",2.21923229548403,1.10961614774202,576.351708403166,1.97626258336499e-323,1.63535728773453e-321,732.442222797505
"RPS18",2.20932785745103,1.10466392872552,228.927804739292,1.41433114476193e-243,1.74316607509436e-242,548.282772615707
"TPT1",2.20715030617802,1.10357515308901,301.622395258828,2.06648230958732e-267,4.02096236276262e-266,603.338420793153
"RPL13A",2.20446774171297,1.10434109329596,279.995914036648,5.6162078055455e-261,9.50588049461451e-260,588.482098947837
"CTSD",2.20292382377256,1.10146191188628,1076.42003070179,0,0,855.573054636094
"RPS2",2.19280247762685,1.102725899299,219.56510619427,5.70212813811437e-240,6.57941275516123e-239,539.950448378311
"RPL41",2.19218566403413,1.09609283201707,1303.93156094343,0,0,892.656151526535
"CXCL3",2.18983006854563,1.09491503427281,167.760532879717,9.05835071850703e-217,7.23643136332456e-216,486.314737894879
"RPS19",2.18440634995335,1.09220317497667,288.083293279409,1.93737732952399e-263,3.47345751691078e-262,594.167852890019
"CXCL2",2.18156629273413,1.09078314636706,147.19181400914,1.60202204664377e-205,1.07092790286687e-204,460.304476973614
"S100A6",2.17669365760836,1.08834682880418,450.747838999729,3.49701294816814e-302,1.5205340464073e-300,683.509053293854
"GAPDH",2.1742754653118,1.0952057232132,237.524649162263,9.25990569902109e-247,1.20435633157356e-245,555.640127702925
"RPS12",2.16791556437344,1.08395778218672,292.913167038525,7.06877644437556e-265,1.30521479876409e-263,597.48784625774
"RPL28",2.16571396167932,1.08285698083966,303.35598629897,6.59954103079576e-268,1.30468526484812e-266,604.482804707718
"CTSL",2.16461395071724,1.08230697535862,621.664950281212,0,0,747.473970472662
"RPS27",2.16314331078961,1.08157165539481,1212.58027671179,0,0,878.669116005437
