,logFC,AveExpr,t,P.Value,adj.P.Val,B
CAB39,2.071739357,0.554930185,89.24787078,4.83E-61,1.01E-60,127.565931
DOCK9,-2.071221832,1.51643027,-1956.354171,1.82E-134,2.02E-133,298.0863331
AGFG1,-2.070749506,1.51608446,-2121.423095,2.14E-136,3.48E-135,302.330975
ZNF280B,-2.070642442,1.516006073,-2000.436682,5.36E-135,6.67E-134,299.2581086
FBXO28,-2.070629616,1.515996683,-136.5927583,3.96E-71,9.88E-71,151.20752
COL8A2,-2.069904492,1.515465789,-2073.940045,7.41E-136,1.07E-134,301.1490795
C6orf1,-2.069894687,1.51545861,-2142.853842,1.24E-136,2.10E-135,302.8546446
OXGR1,-2.069727364,1.515336106,-1960.344384,1.63E-134,1.84E-133,298.1936048
ARMC5,-2.0691351,1.514902484,-2042.872464,1.70E-135,2.29E-134,300.3591516
ZSWIM6,-2.068397889,1.51436274,-62.33037838,1.40E-52,2.54E-52,107.7300699
OPHN1,-2.068027516,1.514091575,-1923.341557,4.62E-134,4.83E-133,297.1893865
POLQ,-2.067902513,1.514000054,-1857.23566,3.14E-133,2.98E-132,295.3408587
UNC5C,-2.06789285,1.513992979,-2400.754097,2.43E-139,8.68E-138,308.7231563
SNCAIP,-2.067570765,1.513757167,-1928.554065,3.98E-134,4.20E-133,297.3321416
KIAA1257,-2.066945424,1.513299328,-1941.635559,2.75E-134,2.98E-133,297.688526
ZNF548,-2.066937602,1.513293601,-2488.440371,3.41E-140,1.67E-138,310.5537864
TMEM57,-2.066810209,1.513200332,-665.5360445,8.49E-109,3.26E-108,239.338207
HMMR,2.065928162,0.553373615,138.317114,1.99E-71,5.01E-71,151.9055385
PIEZO2,-2.065917949,1.51254707,-107.2007943,2.21E-65,4.95E-65,137.7366291
ADTRP,-2.065246421,1.512055415,-2028.626984,2.49E-135,3.25E-134,299.9924184
SMOC2,-2.065212528,1.512030601,-1879.717155,1.63E-133,1.58E-132,295.9775655
PLAGL2,-2.06514209,1.51197903,-1969.317905,1.27E-134,1.45E-133,298.4339603
ZBTB37,-2.06498595,1.511864714,-2130.480028,1.70E-136,2.82E-135,302.5530132
ZC3H13,2.064893578,0.553096494,204.6122601,9.90E-81,2.91E-80,173.7091763
PRR15,-2.064537933,1.511536701,-2107.317552,3.09E-136,4.76E-135,301.9830206
ISG20L2,-2.064223488,1.511306482,-65.02064602,1.42E-53,2.62E-53,110.057117
SLIT3,-2.063480736,1.510762682,-1957.76329,1.75E-134,1.95E-133,298.1242432
RRM2B,-2.063479449,1.51076174,-2110.040658,2.88E-136,4.47E-135,302.0503987
CYP27B1,-2.06345734,1.510745553,-2176.726048,5.23E-137,9.54E-136,303.6703221
SLC16A1,-2.06331574,1.510641881,-1873.219489,1.97E-133,1.91E-132,295.7944102
NKD2,-2.063104771,1.510487422,-1979.087436,9.65E-135,1.14E-133,298.6942526
VEZT,-2.062075706,1.509733999,-1857.584674,3.11E-133,2.96E-132,295.3508081
IL22RA1,-2.061869733,1.509583197,-60.703701,5.85E-52,1.05E-51,106.2751482
KBTBD12,-2.061747074,1.509493393,-1671.728018,1.01E-130,7.39E-130,289.7405468
EPS8L2,-2.061685075,1.509448002,-1755.287141,6.94E-132,5.69E-131,292.343085
LPGAT1,-2.061589786,1.509378236,-1991.698714,6.81E-135,8.22E-134,299.0281461
FBN1,-2.061237825,1.50912055,-2062.583647,1.00E-135,1.40E-134,300.8618834
EPHA1,-2.060752954,1.508765556,-2121.332179,2.15E-136,3.48E-135,302.3287407
ASAP1,-2.060745216,1.50875989,-1992.217634,6.72E-135,8.14E-134,299.0418343
AGAP4,-2.060460323,1.508551308,-2259.124927,6.82E-138,1.64E-136,305.5955933
ACAP3,2.060347097,0.551878687,138.6391811,1.76E-71,4.41E-71,152.0349511
CCL13,-2.060186836,1.508351076,-2110.717305,2.83E-136,4.42E-135,302.0671259
SAMM50,-2.060127036,1.508307294,-1647.424001,2.25E-130,1.60E-129,288.9569822
DDX52,2.059867653,0.551750264,149.1552304,3.22E-73,8.38E-73,156.1039127
ZMYM1,-2.058371467,1.507021967,-2393.629144,2.86E-139,9.97E-138,308.5709835
FAM83A,2.05827356,1.387262769,96.76015508,5.91E-63,1.27E-62,132.0479986
ART3,-2.05817775,1.506880138,-1987.592874,7.63E-135,9.13E-134,298.9197006
OGFRL1,-2.058128578,1.506844137,-1975.157183,1.08E-134,1.25E-133,298.5897105
WDHD1,-2.057533533,1.506408479,-1962.243694,1.54E-134,1.75E-133,298.2445799
MYCBP2,-2.057178165,1.506148299,-2090.374427,4.81E-136,7.24E-135,301.5615723
MDN1,2.057059356,0.550998042,65.39649452,1.04E-53,1.93E-53,110.3747305
SLC4A4,-2.056389535,1.50557091,-2056.214379,1.19E-135,1.64E-134,300.7000286
SAMD12,2.056305887,1.350318727,92.06492673,8.88E-62,1.88E-61,129.2888682
GPRC5A,-2.05549639,1.504917,-75.93708728,3.15E-57,6.14E-57,118.6240775
VAT1L,-2.055397545,1.504844631,-1821.180365,9.21E-133,8.24E-132,294.3017733
JMY,2.055278533,0.550521036,118.3569301,9.95E-68,2.33E-67,143.2378671
PRDM1,-2.054926591,1.504499826,-1926.198741,4.26E-134,4.48E-133,297.2676894
TNFRSF1B,-2.054641368,1.504291002,-328.2414574,5.66E-92,1.94E-91,200.0399132
CPA6,2.054628316,1.293251187,51.93627648,2.62E-48,4.42E-48,97.71791284
TEF,-2.054406701,1.504119192,-1746.18743,9.23E-132,7.49E-131,292.0662846
TMEM117,-2.054258472,1.504010667,-1743.424141,1.01E-131,8.14E-131,291.9819175
PDE8A,-2.054213584,1.503977802,-1933.538484,3.46E-134,3.69E-133,297.4682499
HK2,-2.053719942,1.503616386,-1687.937011,5.93E-131,4.44E-130,290.2562948
MPC2,-2.053698572,1.50360074,-69.16937016,4.99E-55,9.44E-55,113.4678609
PXMP2,-2.053685206,1.503590955,-2250.610794,8.39E-138,1.96E-136,305.400412
SOX15,-2.05353838,1.503483457,-1769.842762,4.42E-132,3.69E-131,292.7826035
TSHZ3,-2.05342893,1.503403324,-1910.689369,6.64E-134,6.79E-133,296.8410876
C1orf210,-2.053179885,1.503220987,-2004.017752,4.86E-135,6.08E-134,299.3520296
