,logFC,AveExpr,t,P.Value,adj.P.Val,B
CALD1,4.242005827,2.219611346,170.7738921,6.20E-65,3.39E-64,138.0663046
IGFBP5,4.080581503,2.128999045,154.6690671,5.31E-63,2.76E-62,133.5277244
COL4A1,4.056527484,2.117251857,146.8513968,5.46E-62,2.77E-61,131.1510894
COL3A1,4.047590963,2.112937735,164.1714085,3.65E-64,1.95E-63,136.2597214
PTGDS,3.987233155,2.080295559,97.05246583,6.40E-54,2.29E-53,112.1837302
MMP2,3.984326934,2.07877927,140.586546,3.87E-61,1.92E-60,129.1533823
FTH1,3.972642029,2.072682798,163.0504317,4.96E-64,2.65E-63,135.9457867
CCL11,3.953757501,2.06283,100.0642564,1.63E-54,6.10E-54,113.5819648
CXCL14,3.913089873,2.041612108,95.81109378,1.14E-53,4.00E-53,111.5948464
COL5A1,3.912416659,2.041260865,133.1386479,4.45E-60,2.15E-59,126.6593772
COL15A1,3.845384894,2.006287771,143.3759956,1.60E-61,8.06E-61,130.0536335
EFEMP2,3.803131269,1.984242401,122.608635,1.80E-58,8.28E-58,122.88478
MFAP4,3.763131891,1.963373161,129.266257,1.67E-59,7.98E-59,125.3070683
WFDC1,3.755211188,1.95924062,359.4590066,1.81E-79,1.46E-78,172.0794333
LAMA4,3.74859765,1.955790078,130.9060763,9.51E-60,4.56E-59,125.8845915
GUCY1A3,3.740862638,1.95175442,353.0869641,4.05E-79,3.23E-78,171.2658633
CYGB,3.737336052,1.949914462,132.1183783,6.29E-60,3.03E-59,126.306927
ESM1,3.733480265,1.947902747,326.1636669,1.43E-77,1.09E-76,167.6545864
FNDC1,3.726306819,1.94416008,338.3147804,2.77E-78,2.16E-77,169.3206603
GREM1,3.719566121,1.940643193,176.6407785,1.36E-65,7.53E-65,139.6138324
COL8A1,3.695221402,1.927941601,160.649554,9.66E-64,5.11E-63,135.266076
LHFP,3.689012676,1.924702266,135.7511076,1.86E-60,9.08E-60,127.549701
RPS23,3.680028623,1.920014934,128.0034328,2.60E-59,1.23E-58,124.8573147
KRT18,3.652138893,1.926774149,264.8157648,1.69E-73,1.14E-72,158.1457748
IGFBP4,3.646025347,1.902274094,226.6629752,1.84E-70,1.15E-69,151.0315516
RPS27,3.645602218,1.902053331,122.7810957,1.69E-58,7.79E-58,122.9491658
PTN,3.639944584,1.899101522,319.3526183,3.71E-77,2.78E-76,166.6928543
ATP1B1,3.632395702,1.895162975,395.251974,2.53E-81,2.17E-80,176.391703
ANGPTL2,3.631884326,1.908743723,127.3773511,3.24E-59,1.53E-58,124.6326927
CRISPLD2,3.631285714,1.894583851,188.6033718,7.15E-67,4.09E-66,142.6156007
ODC1,3.629832033,1.893825409,367.670519,6.55E-80,5.38E-79,173.1064049
MRC2,3.621750393,1.889608901,246.9407263,3.91E-72,2.54E-71,154.951108
JAM2,3.620313374,1.89052153,318.8835939,3.96E-77,2.97E-76,166.6258615
IMPDH2,3.619731446,1.912974624,213.2335209,2.87E-69,1.72E-68,148.2361649
TWIST1,3.618047418,1.887676914,360.5042185,1.59E-79,1.28E-78,172.2114765
NBL1,3.617969552,1.887636288,352.1677896,4.55E-79,3.63E-78,171.1472693
ATP1A1,3.617592745,1.887439693,338.0123479,2.88E-78,2.24E-77,169.2799373
WWTR1,3.61640938,1.886822285,330.5750159,7.84E-78,6.04E-77,168.2666362
TIMP2,3.615998204,1.886607759,635.3395975,1.34E-90,1.34E-89,197.7413955
GLO1,3.614310528,1.885727232,576.5354941,1.06E-88,1.04E-87,193.411509
IL24,3.613363648,1.885233208,394.4814686,2.76E-81,2.37E-80,176.3031579
DPYSL2,3.612668368,1.884870453,523.5009295,8.16E-87,7.80E-86,189.0861448
EIF3D,3.610954063,1.883976033,375.028882,2.69E-80,2.23E-79,174.0069478
PLP2,3.606881767,1.881851357,396.5673153,2.18E-81,1.89E-80,176.5424512
EBPL,3.606596457,1.881702499,343.1351683,1.46E-78,1.15E-77,169.9647727
CKAP4,3.605245371,1.880997585,406.3238118,7.29E-82,6.39E-81,177.6448478
HSPB8,3.604736955,1.880732324,418.9749936,1.84E-82,1.63E-81,179.034486
TNS3,3.603399169,1.880034349,1545.887816,5.62E-108,7.25E-107,235.1095946
HEXB,3.603092037,1.879874106,378.3363482,1.81E-80,1.51E-79,174.4058535
FAP,3.602853718,1.879749766,181.976348,3.57E-66,2.00E-65,140.9771126
RCN1,3.599600051,1.878052201,384.4771955,8.77E-81,7.38E-80,175.1371062
PCNA,3.598895125,1.877684413,704.9643116,1.25E-92,1.28E-91,202.345821
UGP2,3.598861965,1.877667112,395.6819336,2.41E-81,2.07E-80,176.4410363
KDELR3,3.597541014,1.87697792,424.416977,1.03E-82,9.16E-82,179.6190155
HEG1,3.592549886,1.886766277,237.6347498,2.20E-71,1.40E-70,153.1942461
