"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CAPN9",-5.32713937599844,2.54776231026012,-22883.1843124965,1.27333865759914e-163,7.33973624551103e-161,363.130245473196
"CIDEC",-5.26893895792654,2.519927327704,-24245.7128042915,8.95366887673514e-165,1.03220879367295e-161,365.353569208672
"CLC",-5.22572504274431,2.50100754921667,-4237.84959959156,5.25847390404303e-130,9.25047405754466e-130,288.297869514659
"APOBEC1",-5.18274072013662,2.4787020835436,-25909.9165300233,4.25256613612699e-166,6.43963983666622e-163,367.8459990054
"EVA1A",-5.05166532399505,2.41601385060633,-25926.064438583,4.13267554538991e-166,6.43963983666622e-163,367.869073861239
"TLR7",-5.05120330778164,2.41579288633035,-22410.4975459717,3.31915070636602e-163,1.53057102906225e-160,362.316726682861
"DDX21",-5.04412471822123,2.41240747393189,-22489.2562459702,2.82548992124991e-163,1.39599384180612e-160,362.453858926525
"LY6D",-5.03026025898094,2.40577664559958,-21659.9279502336,1.58524488891111e-162,6.85321181037383e-160,360.976936645996
"SEMA6D",-5.0020298201973,2.39227513139871,-21105.1884143052,5.21541537905864e-162,2.0041682320527e-159,359.946833247547
"ATP2C2",-5.00092626138651,2.39174734240224,-22493.9386709779,2.79861884449372e-163,1.39599384180612e-160,362.461991649195
"FAM217B",-5.00046413468218,2.39152632528278,-24106.3332393082,1.16661045784056e-164,1.1527777909833e-161,365.134050940335
"SLCO1B3",-4.97873750007385,2.38113532612228,-16378.0248574972,5.91789520918893e-157,8.89871329607823e-155,349.497688349173
"AKR1C4",-4.96834925870615,2.37616703677251,-23882.2963427004,1.79082987324275e-164,1.54839627915251e-161,364.777521365689
"EME1",-4.95524188369458,2.36989829220176,-28100.1646718475,1.02564907549741e-167,7.09441465521558e-164,370.798967934944
"BIRC7",-4.95076005896542,2.36775481080955,-25858.934111224,4.65493699339759e-166,6.43963983666622e-163,367.773012491398
"TMEM171",-4.86787390279708,2.32811360568556,-23645.9682142767,2.82680754901739e-164,1.95530278165533e-161,364.396436018943
"PPARGC1A",-4.78803788725212,2.28993116346841,-23218.2631589169,6.53376994698077e-164,4.10855333847873e-161,363.69339128924
"NAT2",-4.77385715117569,2.28314907230142,-20464.6392918986,2.14619330089088e-161,7.06915193441058e-159,358.71271524871
"TRIB2",-4.77028258458983,2.28143949697775,-23772.1490491291,2.21414082431137e-164,1.70169023130686e-161,364.600549886784
"IL1RN",-4.7533734790392,2.27335253345353,-20372.3652117504,2.64091461380131e-161,7.94226364507117e-159,358.530832264817
"SLC4A11",-4.70781142080595,2.25156198386371,-20675.7248634754,1.34000963300027e-161,4.87834033234888e-159,359.124853276699
"PKP3",-4.70549271630706,2.25045303823381,-16634.1181400508,2.90322255378682e-157,4.6701373033822e-155,350.154422126301
"PRAME",-4.64329233271333,2.22070502868898,-18298.2013330911,3.64937472758026e-159,7.64931060323414e-157,354.144145452604
"LRRC58",-4.63938592666885,2.21883674753728,-17663.2107827002,1.84616026040412e-158,3.45132176249062e-156,352.675875416413
"TNNI3K",-4.63105364252903,2.2148517420791,-20598.0156388111,1.59283660054312e-161,5.50882538297838e-159,358.97376110865
"CES3",-4.60819065228894,2.20391726848601,-18134.1508229276,5.51749734768813e-159,1.09041511868454e-156,353.770880110644
"PHKA1",-4.60222799269359,2.20106556172302,-18471.7230382422,2.36631985328146e-159,5.1149482578587e-157,354.534491370455
"SF3A2",-4.59107648915619,2.19573223394427,-19580.7035723022,1.6286997320709e-160,4.69404835280601e-158,356.925851561306
"DZIP1",-4.58084987823113,2.39135801717147,-483.561136850456,9.74492076573327e-87,1.04993172798407e-86,186.663577260388
"EXOSC5",-4.54956539582262,2.17587910234995,-18496.3246382624,2.22608494598474e-159,4.96704179721821e-157,354.589466653421
"KLK15",-4.53918587628998,2.17104141243751,-14337.6335026007,2.65744177869668e-154,2.55298955322846e-152,343.790194015933
"ATPAF1",-4.51614311018925,2.15989453096007,-26878.6616358019,7.88729310798192e-167,2.72782032139555e-163,369.195015051077
"IGSF9",-4.49852596562687,2.15146894008242,-14219.1600653533,3.88925474980916e-154,3.47151307170712e-152,343.43014667724
"SIRT5",-4.49051487870683,2.14763755068587,-19299.0552702823,3.16705732811497e-160,8.76261421542851e-158,356.33488834818
"SERPINB3",-4.47620042975681,2.14079150988369,-12526.1826203615,1.30890534493691e-151,4.79031654546488e-150,337.877674701131
"PRSS2",-4.46523092332294,2.13554522419793,-16153.5300344867,1.1150556574148e-156,1.60684166298711e-154,348.911833770575
"LAMC3",-4.42806189499662,2.33542257867439,-983.49897260633,6.88935725838051e-101,7.76498030898126e-101,219.949512388856
"LRRC37A3",-4.41591322795064,2.11195850032422,-17929.5901793367,9.28722084470089e-159,1.78443629396656e-156,353.299579056885
"ARFIP1",-4.40005014630838,2.10437180910401,-16077.849066257,1.38327880764683e-156,1.95268153316186e-154,348.712147919835
"CEL",-4.39885113645481,2.10379836960882,-18844.8037212118,9.45076342257391e-160,2.51426656130553e-157,355.358570402195
"GAR1",-4.377902139865,2.09377928428326,-17336.4683921985,4.34985326580253e-158,7.52198375988902e-156,351.894983912736
"ART3",-4.34895130205532,2.09162935905332,-363.128601676869,4.97577383964196e-81,5.30805485021645e-81,173.234907891281
"TRIM6",-4.34022522342779,2.07821530495726,-3430.15714389555,8.62835259186975e-126,1.32040519641511e-125,278.438115066718
"ADH6",-4.32448126164847,2.06823016861449,-14602.470840716,1.14712125322803e-154,1.25946630294893e-152,344.582806439949
"CASC5",-4.30021642973294,2.05662524900271,-15794.26866,3.13073015250232e-156,4.24612950291344e-154,347.953890677992
"CHSY3",-4.25051178878939,2.34590882651357,-998.760342261693,3.3981379850307e-101,3.83503351973526e-101,220.671378237476
"GP2",-4.23555648843048,2.02570092924936,-18195.0683453899,4.73031478956712e-159,9.62340805865757e-157,353.909970164914
"C6orf141",-4.20924931800413,2.01311923904545,-13416.751884628,5.59459853088899e-153,3.45516411054992e-151,340.897550852064
"RGS4",-4.17762147267815,1.99799287823738,-11078.8873981119,3.66794410408083e-149,6.27999241780373e-148,332.420247542576
"ORAI2",-4.17082908551261,1.99474434524516,-11397.8331397487,9.96898311609534e-150,2.05768613640928e-148,333.687892412217
"JAM2",-4.03811831430118,3.49478129771358,-2114.399880769,3.80822820309161e-116,4.86724214353006e-116,255.813937041256
"FBXL2",-4.0113538327741,2.60889534948835,-1487.59969334016,3.88707255591621e-109,4.59212312028565e-109,239.344716277446
"SYTL1",-4.0108959049118,1.91825456321868,-13909.6969562406,1.06782675909485e-153,8.20684188073231e-152,342.473198257526
"LINC00857",-4.01000965190242,1.91783070308376,-12134.7841581382,5.61977551576928e-151,1.71999943551222e-149,336.473469883038
"DCUN1D1",-3.95107147245215,1.88964287812929,-10949.0713507692,6.30056086134585e-149,1.01351115064952e-147,331.892821111063
"REN",-3.90961098845259,1.86981395099906,-12228.269939622,3.95125963829471e-151,1.24231195082202e-149,336.813401774517
"SPARC",-3.88344470387291,1.8572996409827,-11831.1956013507,1.79794986648088e-150,4.83907362896818e-149,335.349197180931
"CISD3",-3.87259300447112,1.85210969779053,-9965.71923788974,4.73429516127059e-147,4.80163044435611e-146,327.662613705387
"CERS6",-3.87181333372544,1.85173681178173,-10691.9165540314,1.87563287723959e-148,2.70850785216415e-147,330.827608879469
"PRKCB",-3.85227183091359,1.84239087565433,-9196.39993903555,1.89124428857439e-145,1.41119058727821e-144,324.026947189385
"ESM1",-3.78485291940213,2.8689257933497,-1334.59368364974,5.66460914419772e-107,6.59631337549085e-107,234.258444153621
"C11orf86",-3.7361619259684,1.78686005155011,-10075.926142152,2.85773030348027e-147,3.05516545736832e-146,328.158666909768
"VLDLR",-3.69904779943719,2.85370063536463,-2020.41961248003,3.06928534360127e-115,3.87767063409863e-115,253.685213299362
"GDPD1",-3.69170732639253,1.76559915610078,-8331.63978731851,1.75907042292435e-143,9.52818333231617e-143,319.532231327786
"PTPRD",-3.68616826969187,3.22587306503412,-2281.47970912658,1.16058931663181e-117,1.51496439010044e-117,259.37399427671
"SH3BGRL",-3.57907489781873,1.71173147286983,-8852.93856542075,1.08516338903986e-144,7.02158574554604e-144,322.29763927087
"TBX2",-3.50866232019843,2.53696760739264,-1072.18000216132,1.31002990958181e-102,1.4893946227116e-102,223.996656321439
"GUCY1A3",-3.48760003432829,3.42789564769673,-1522.87685620953,1.32564640323996e-109,1.57389223673374e-109,240.442922267099
"GPD1",-3.43079545480734,1.64081521751656,-8185.77450989265,3.95703323800792e-143,2.02746658572598e-142,318.725671155798
"ABCG2",-3.34328618352996,2.9714790410678,-2070.54016833962,9.96710800380605e-116,1.26825765383235e-115,254.832553183815
"CCDC150",-3.33525313030496,3.24959490215177,-1912.28999718824,3.83247463632125e-114,4.76441895388823e-114,251.10950751513
"KIAA1161",-3.30578380605311,1.58102703767757,-7410.56986844864,3.80741343168513e-141,1.50233192852059e-140,314.169315398924
"RARB",-3.29960962573041,1.80986731146518,-663.338020886796,4.87912158451278e-93,5.33410526316973e-93,201.484968906632
"PBLD",-3.29100305279355,3.57639158631832,-2649.57658928902,1.21068939740651e-120,1.66256473334542e-120,266.37222531234
"HOTTIP",-3.26095009356592,1.55958482735761,-6863.73749087897,1.28436391008881e-139,4.2425717125522e-139,310.645312801045
"SPTLC3",-3.1476454535079,2.84931963479022,-2095.33671529058,5.77112317501539e-116,7.35967164483434e-116,255.389922627917
"CYP4F3",-3.04143729708764,1.45460044643322,-5804.11710156271,2.82709384144063e-136,7.07233566048639e-136,302.903724998799
"CACNA2D1",-3.03532205972956,1.78000900910251,-753.142192781319,1.43727361395779e-95,1.5868510116115e-95,207.438120252801
"WDR35",-3.02901060317333,3.459425495614,-2667.89547640268,8.82439759799875e-121,1.21469369523099e-120,266.694466862782
"RPGRIP1L",-3.00485101795229,3.9500488393607,-4102.88537938939,2.32293886404711e-129,3.97127239807559e-129,286.790321592007
"ACOX2",-2.96601646887653,3.3301369586457,-1505.29657008494,2.25883519424099e-109,2.6772383547918e-109,239.898856882118
"RNF39",-2.95267820084275,1.41215044388131,-4597.11209129627,1.25537195371679e-131,2.3790158366737e-131,292.084950764502
"TBC1D30",-2.94130796895091,3.7082932145583,-2706.74296431236,4.54481517208961e-121,6.29359089996873e-121,267.370520320978
"ZNF844",-2.9073423083589,1.39046806051947,-3729.01783597769,1.86490055952206e-127,2.98530830136868e-127,282.336291555221
"C1QTNF1",-2.88263552875049,3.98735508415619,-2703.29713198012,4.81847431497459e-121,6.6698792949128e-121,267.310949013524
"HPDL",-2.87227127012579,3.20111999326536,-2234.64468140589,3.00711207036843e-117,3.90687343928221e-117,258.403163009385
"PCSK9",-2.86731033754852,3.41350236275893,-2127.18684233712,2.88758008303669e-116,3.69740678162991e-116,256.096208116782
"COMP",-2.81598739322293,1.35349206268171,-448.975422632984,2.93616090419137e-85,3.15119084162788e-85,183.184171352277
"C1QTNF9B-AS1",-2.79443346321019,2.50736206561926,-1316.60280987549,1.0561163046171e-106,1.22817022176134e-106,233.622370406425
"BCAS1",-2.7734698483223,3.25443925715988,-2565.51264015449,5.31786280897077e-120,7.19273700618905e-120,264.864167838241
"CNNM2",-2.75427353455888,3.59358336984657,-2978.85901326247,5.5968771637326e-123,8.01689777211398e-123,271.848923101865
"PHC1",-2.7388875558505,3.89853742346741,-2667.98858104719,8.81027405448809e-121,1.21299095610856e-120,266.696098946782
"TPPP",-2.723113783936,3.36323088593573,-2269.05989075128,1.4910455239908e-117,1.94265622328958e-117,259.118510487398
"RAB3B",-2.72231498105627,3.0893941750609,-1885.40906245601,7.33968498022508e-114,9.09179817482394e-114,250.446513801294
"RCAN2",-2.69181113320908,3.46395597133486,-2286.61903770923,1.04670698449297e-117,1.36734130533293e-117,259.479305378876
"SLC44A3",-2.59171172400587,3.53350001524533,-2107.03539775146,4.46966002917511e-116,5.70733587258709e-116,255.650588256269
"ILDR1",-2.5630466333874,3.08743860590443,-2826.10557175003,6.27032002079176e-122,8.80288280572693e-122,269.388296373432
"CCAR2",-2.55903674256211,1.2238871377471,-3052.73369757535,1.8180998038851e-123,2.62652388126008e-123,272.993708879037
"NAV2",-2.55743177741432,3.56806521520355,-3105.22308201164,8.31342239400717e-124,1.20984520722381e-123,273.790268382421
"LRRC1",-2.55699065264938,3.83339143190776,-2384.68931676625,1.52301918717144e-118,2.01005985836002e-118,261.444588411472
"CTPS2",-2.54574060220519,3.82678908752508,-2613.46797464289,2.27281217699325e-120,3.10018572831046e-120,265.730437860722
"CCL11",-2.52811195464085,3.5352578583872,-1674.05282140447,1.72093298402257e-111,2.07815877278005e-111,244.877280005753
"CCDC77",-2.51480512159137,3.63719811994253,-3203.24664085887,1.99637398628691e-124,2.94810394174778e-124,275.242159319834
"PLS1",-2.5044863120936,3.82957788801185,-2585.52596651946,3.72251840538848e-120,5.04875682550433e-120,265.227653450858
"MAGI1",-2.49137043764373,3.60451666352232,-2598.0251203824,2.9833367082581e-120,4.05975605174529e-120,265.453233272026
"TSHZ3",-2.47428521838175,3.4693703205034,-2617.49739300634,2.11764469425652e-120,2.89024237375145e-120,265.802496429022
"HSD17B6",-2.47132910126575,2.35489787900042,-833.817750528955,1.34637519053442e-97,1.49700646084659e-97,212.209178634735
"LRIG3",-2.47010591953478,3.14309374480372,-2006.0974350519,4.25448168580873e-115,5.361313503505e-115,253.352106630852
"TNFRSF11A",-2.45877713233246,3.58427362560361,-3311.30159323132,4.35410386055626e-125,6.54867066829042e-125,276.791616786203
"SATB2",-2.45312493734482,3.63596821552226,-2188.2575353558,7.87586542536352e-117,1.01750767925363e-116,257.421267726312
"LMBR1",-2.43777491241759,4.2121726485992,-3256.54357439608,9.36050311540419e-125,1.3954008631304e-124,276.01289136141
"DUOX2",-2.41629307840073,3.25035529654106,-3013.0529419956,3.31457909859237e-123,4.76651634614625e-123,272.382316387627
"NEURL1B",-2.41039719100575,3.22937933280023,-1796.37242937834,6.76068370385298e-113,8.27528741453744e-113,248.180770232532
"ACCS",-2.39428536119764,3.63560289178952,-2460.12133214291,3.64689559478583e-119,4.87262445994468e-119,262.901743228891
"C16orf45",-2.35153297275086,3.63585700107901,-2331.4543790802,4.29286728472541e-118,5.62488407055232e-118,260.388081183261
"SLC30A4",-2.34499608293915,3.55667005966837,-2117.13805764514,3.58859858946845e-116,4.58738429927061e-116,255.874525933072
"ARSJ",-2.34424854620907,2.61797013875199,-1239.64705066255,1.67600957551479e-105,1.93409379943874e-105,230.799570995407
"CPE",-2.34322642319667,4.25681611811984,-3437.29188440691,7.8434642305411e-126,1.20215471045098e-125,278.535112439282
"ZNF343",-2.24844671569932,2.84491136527032,-1924.74886460443,2.84464316734849e-114,3.54401959447937e-114,251.413630626567
"HOXA3",-2.24685830707018,2.68463396480379,-1478.67436785048,5.1236786774849e-109,6.0458009914983e-109,239.062728223589
"PCSK1N",-2.23228935578103,3.71977987425615,-2695.25207674319,5.52487025108307e-121,7.63394477162237e-121,267.171568832839
"FJX1",-2.22657496594642,3.31120167659413,-1521.28257071611,1.39093596002328e-109,1.6511247701186e-109,240.3938432706
"CD177",-2.21867658367371,3.07429936974626,-1836.85708054622,2.4306907427929e-113,2.9921850628045e-113,249.224639046871
"PIGN",-2.21634867127983,3.6846777801499,-2623.73093374762,1.89861455370017e-120,2.59334851262718e-120,265.913752149799
"DARS2",-2.20446755874001,3.55229761523581,-2574.87546574362,4.4990450628183e-120,6.09596370215753e-120,265.034570651411
"MFAP4",-2.19551953041197,3.46850158068348,-1509.49900463099,1.98752051850989e-109,2.35647573303615e-109,240.029488344082
"STK33",-2.18117034013353,2.06625240838228,-818.84746518265,3.09236396643857e-97,3.43447038469101e-97,211.359774060236
"ANXA3",-2.14729076488637,4.2864544059048,-3024.6840445596,2.77732180815955e-123,3.99973661191747e-123,272.562362129989
"LIPT1",-2.14556200170452,3.57700628432478,-2643.39202689926,1.34777254900495e-120,1.84787764548409e-120,266.262928641026
"PEX11A",-2.12678614135371,3.06044604554746,-1973.04214016274,9.12100927555599e-115,1.14334942296159e-114,252.574105841725
"ST6GALNAC1",-2.11731672992259,3.2061604366126,-2011.40152268545,3.76886995049413e-115,4.75369683580742e-115,253.475746988194
"KIF4A",-2.11251456002341,3.14344658867266,-1738.60747742862,3.03058534830978e-112,3.68799416858881e-112,246.64976572879
"SFXN2",-2.10999172190171,3.35446746709797,-1801.62980648786,5.91202126299968e-113,7.23906020112742e-113,248.31765313334
"VGLL3",-2.09803822775082,1.94717521124782,-888.150829239865,7.42784218096885e-99,8.30827690261345e-99,215.168778782275
"MACROD2",-2.09003844396597,2.59246772351701,-1466.91156981057,7.39244941039619e-109,8.70506853450977e-109,238.688477201195
"FAM149A",-2.08292343803785,2.39590605205754,-1442.40744694736,1.60171692905014e-108,1.88227590863741e-108,237.899092440073
"RMND1",-2.08100623542768,3.89191392026283,-2006.7730670588,4.18923038651716e-115,5.28004857571779e-115,253.367874090976
"BHLHE41",-2.06099150554397,4.27822384157659,-3084.17881406749,1.13588439068353e-123,1.64784235116569e-123,273.472549511004
"PTN",-2.05575964631055,2.21999275680686,-849.552458287456,5.7085183923763e-98,6.35944946369252e-98,213.085666412635
"SIDT1",-2.05490911210877,4.14829049139158,-3513.9279100309,2.85068807068359e-126,4.42013211946165e-126,279.564353615953
"HS3ST2",-2.05234550146166,2.59395526268724,-1300.49506197033,1.85819275518244e-106,2.15692553911679e-106,233.045446894675
"CTTNBP2NL",-2.04239120758801,3.98914988403711,-3192.70608042997,2.32244231073389e-124,3.42085465573813e-124,275.088200806322
"MOXD1",-2.03382440019759,3.28130639516854,-1955.75417371643,1.36607840277018e-114,1.70778317584698e-114,252.161987109319
"CYP1B1",-2.0261288617541,4.13932375846462,-2394.38605154795,1.26419205013045e-118,1.67101402842581e-118,261.634477901383
"ANKRD16",-2.02161698214235,3.33081949538062,-2774.3849625977,1.46380429987676e-121,2.04300531522348e-121,268.524714444492
"ZC3H14",-2.01652844237035,4.16303604783587,-3356.44780699438,2.33858792185394e-125,3.53960889616274e-125,277.423943509745
"KCNC4",-1.99151099481548,3.35742762695185,-2364.36663163181,2.25587062747826e-118,2.96820565536753e-118,261.044083917531
"MMACHC",-1.98463841377994,2.62361648425802,-1439.75196092119,1.74308200924831e-108,2.04805474060991e-108,237.812742233997
"PEX7",-1.97279680329429,3.8879074569236,-2406.46218368986,1.00352472511158e-118,1.32900258923929e-118,261.869885546625
"MTMR1",-1.96950715403165,3.71557765426964,-2443.06989248667,5.0184537071091e-119,6.68450689236927e-119,262.576317990772
"CYBRD1",-1.95386926425487,3.91869612898601,-2333.14008193271,4.15278884541645e-118,5.44237219472254e-118,260.421905739359
"LAMA4",-1.94133195465062,3.7163328796131,-1913.55121965825,3.71823204010078e-114,4.62488959204767e-114,251.14038443428
"SYT17",-1.92726706983677,3.09254298846343,-1865.52184244527,1.19414345594157e-113,1.47498040799068e-113,249.949884368058
"MIER3",-1.92345616984772,3.58208213969121,-2158.70122192047,1.47020273664971e-116,1.88811591708245e-116,256.784679173713
"TSPYL5",-1.92209509001793,2.80634464571849,-1574.86780332344,2.83953528970821e-110,3.39223930896575e-110,242.015839983254
"TPD52L1",-1.91165924600082,3.84351330716237,-2022.82332621681,2.90626840422842e-115,3.67306021415092e-115,253.74088688394
"KREMEN1",-1.90925041554814,3.27375053326386,-2450.43305458064,4.37100335358757e-119,5.83447128459383e-119,262.717122367201
"FOXP4",-1.90258459552433,3.77130575277862,-2356.36543055496,2.63564480280912e-118,3.46526422752912e-118,260.885452698234
"TRIP6",-1.88587879677569,4.4172379612625,-3530.34949457361,2.30148909540896e-126,3.58061180228156e-126,279.781949745978
"WWTR1",-1.88034700382669,3.69424358969537,-1916.79258675384,3.4403206727554e-114,4.28075159083452e-114,251.219645203606
"COL8A1",-1.8569200250674,3.28319463800897,-1393.49894474497,7.80216164171851e-108,9.13156549505362e-108,236.282562112554
"EGLN3",-1.82202599121049,3.8575341485371,-2022.84821780587,2.90462738196038e-115,3.67165709082967e-115,253.74146306289
"GRB14",-1.7967460748156,0.859313340129202,-1470.00723293002,6.71067048650411e-109,7.9089636658969e-109,238.787261016423
"LYPD3",-1.79043755950504,3.90163567183248,-2646.24219716747,1.2827286521591e-120,1.76009404621792e-120,266.313330180075
"PCGF2",-1.78880160903103,3.60516299146526,-2199.61781588437,6.20982217675961e-117,8.03617212285243e-117,257.663653900626
"TOR1B",-1.76975942862372,4.03411217264503,-2581.45389026818,4.00181264247007e-120,5.42542886083212e-120,265.153925401891
"TMEM139",-1.754209975792,2.89327170800177,-1784.22621375504,9.23064260354439e-113,1.12786353804481e-112,247.862985145626
"HS3ST1",-1.74752622676949,4.04990631104386,-2749.11420260779,2.22785247793041e-121,3.10248753570458e-121,268.096858735273
"SUV39H1",-1.72410534511071,3.07112562241638,-1972.33603391759,9.27209935113951e-115,1.16207847819953e-114,252.557344414277
"CDC20",-1.71917843427296,4.44360321329657,-3094.31939204213,9.7701146345133e-124,1.41974543964135e-123,273.625920120535
"FAM120C",-1.68351952576689,3.2822250672068,-1729.18647067489,3.88898395673448e-112,4.7234595309451e-112,246.395243700427
"FAM175A",-1.67701888682259,3.79000075187674,-1961.13968826371,1.20409127237655e-114,1.50582161110624e-114,252.290760107469
"DTNA",-1.67163296631224,2.73183826229715,-1248.41143984283,1.21294303845653e-105,1.40018808361212e-105,231.129779199206
"NPC1",-1.66713138549053,4.03338302983829,-2377.32963340503,1.75517877560311e-118,2.31293038499651e-118,261.299946545847
"ZNF681",-1.65469543651315,2.7940073792195,-1641.05643027986,4.29134851791067e-111,5.1614080504935e-111,243.944654825957
"CORO2A",-1.64200345997834,3.628659535502,-1811.62833975341,4.58579141368061e-113,5.62609421930273e-113,248.576876965725
"HSD17B4",-1.63886907471649,4.67416494436802,-2638.19045655596,1.47530141460007e-120,2.02032466537095e-120,266.170804640751
"BRMS1",-1.6066830138096,4.50507242858592,-3375.82642555874,1.79553600297916e-125,2.72242931446884e-125,277.692736540807
"TRIM15",-1.59830836356533,3.28605680801821,-1748.42731957146,2.34020836618155e-112,2.84936125134269e-112,246.913595602147
"PROSER1",-1.58988729414647,3.82688681286782,-1923.68655130618,2.9176476039654e-114,3.63366375164362e-114,251.387776478975
"XPO7",-1.58823999635808,3.78018925850314,-1683.94537681621,1.31315063613931e-111,1.58656121400448e-111,245.153300513312
"FCGBP",-1.57436554865229,3.35598143590851,-2100.1204103904,5.19759626748661e-116,6.6319449146292e-116,255.496687177038
"CD36",-1.57387216735082,4.09947180929427,-2527.45206797479,1.05604777427712e-119,1.42225125675133e-119,264.164972074863
"SFMBT1",-1.57246948757595,3.77967227061672,-2126.12978268084,2.95421612770527e-116,3.77993210420594e-116,256.072938266615
