"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IGFBP5",-4.16641268277404,1.99263215263107,-20115.2105869452,4.67319909002794e-159,3.24974264720543e-155,353.916028744545
"MAN1A2",-4.07413163856905,1.9484977401852,-16124.1079466192,1.04600662878661e-154,1.7283289568059e-151,344.679589474567
"AVEN",-3.94471695077817,1.88660375906782,-16062.8818464094,1.24268691170974e-154,1.7283289568059e-151,344.517428082196
"FSCN1",-3.93845816603828,1.8836104272357,-17159.1352977794,6.24956588268584e-156,1.44864937160658e-152,347.317120801261
"IGFBP4",-3.80774522194907,1.82109554093216,-14463.8771904747,1.43465546592355e-152,7.67430316156338e-150,340.011723280587
"EDN3",-3.79508215270241,1.81503929042289,-15417.546011336,7.95922471792044e-154,7.90692124120268e-151,342.76355592155
"TP53",-3.78997272630747,1.81259565171227,-6636.32592656887,3.02314870570621e-137,1.77110160905484e-136,305.166259698205
"CD59",-3.76532956145306,1.80080979026016,-13529.4182873247,2.95372974205033e-151,9.33647119373544e-149,337.108859736758
"SQLE",-3.74102773757984,1.78918717884253,-13842.2978345567,1.04881109595154e-151,4.86228824083132e-149,338.105201076141
"HIST1H3B",-3.73121641785263,1.78449480853821,-17228.1698007685,5.21048411677631e-156,1.44864937160658e-152,347.486369656493
"LDHD",-3.72492411145798,1.78148544461034,-10771.9496864721,8.97953666080963e-147,6.7622165394799e-145,327.049125009691
"HSD17B12",-3.72361156695956,1.78085770593718,-11637.147738506,2.71469139490881e-148,3.19040080982904e-146,330.482274572276
"RPL31",-3.70634552445791,1.77260003343639,-13513.8160798365,3.1121876980119e-151,9.40963184868466e-149,337.058504226449
"RPL26L1",-3.70279510648756,1.77090200745057,-10588.2138901687,1.95718853113278e-146,1.29621800433308e-144,326.281821729734
"UTY",-3.69536504830095,1.76734850136132,-12954.2224679787,2.11283598981754e-150,4.45232165854277e-148,335.208441309653
"RPL22",-3.68486250992353,1.7623255482243,-12292.7348878343,2.26862507329075e-149,3.58545880901451e-147,332.904134377326
"SPINK2",-3.67297361195434,1.75663955354338,-10780.0130863336,8.6803334983532e-147,6.63330100522507e-145,327.082476282934
"CXXC5",-3.65950322805718,1.75019719602735,-13812.7239838713,1.15548379171458e-151,5.02202142973949e-149,338.012107820663
"THRAP3",-3.65917050186044,1.75003806610717,-9426.22124343851,3.7846933867186e-144,1.25927070867183e-142,321.073826330104
"RP11-44F21.5",-3.63353379821122,1.73777703392711,-9251.79528525654,8.818490848632e-144,2.57662963703307e-142,320.233583872366
"RUNX3",-3.62729773041723,1.73479456672128,-10988.7430911649,3.64199917321925e-147,3.10571581467262e-145,327.936599348889
"NFATC2",-3.62207842809829,1.7322983786557,-14830.6026708153,4.61610835603802e-153,2.9182197734444e-150,341.093685045616
"APOL4",-3.62180402773382,1.73216714369879,-14835.750116784,4.54412794790369e-153,2.9182197734444e-150,341.108655077582
"RPL37A",-3.61750410515582,1.73011065898757,-14719.9495640808,6.48001739737052e-153,3.75517008177621e-150,340.770444641237
"CYFIP2",-3.60720894827569,1.72518688830576,-15610.7917780441,4.52766214720761e-154,5.24756042861362e-151,343.297487364913
"FBXO32",-3.60600698290829,1.72461203530397,-8689.11738895029,1.51190364923583e-142,3.04062076058036e-141,317.404672177621
"TUBB6",-3.60513804874409,1.724196458095,-11292.3366723309,1.06001785430312e-147,1.0382203040597e-145,329.148195874561
"RP11-532F12.5",-3.60366175713325,1.72349040558547,-15302.771152049,1.1164517699646e-153,9.70475701041728e-151,342.442791435196
"RUSC1-AS1",-3.58893571057912,1.71644751375523,-10123.0897141654,1.49691075763906e-145,7.17897752318758e-144,324.273871810009
"REXO1",-3.58695084681399,1.71549823108495,-11244.8601875234,1.2828631856091e-147,1.18947074569676e-145,328.961060534933
"RP11-401P9.4",-3.58094389751252,1.7126253422886,-10985.7007519299,3.68795857629976e-147,3.10571581467262e-145,327.924275873377
"FZD10",-3.58048171907846,1.71240430042883,-12460.5574085393,1.22760941339316e-149,2.18892201557335e-147,333.501433903689
"SNX10",-3.57284034551273,1.70874973046261,-12196.4555127133,3.23905135000435e-149,5.00541401954006e-147,332.557417293415
"HIST1H2BH",-3.57245776053059,1.70856675503637,-10196.1096836402,1.08101447489284e-145,5.52748136647412e-144,324.59554337215
"MSMO1",-3.57056494110133,1.7076614935702,-9706.66913137392,1.00320415585635e-144,3.98644668561434e-143,322.390909092643
"HIST1H2BE",-3.55652560780306,1.70094702981885,-11368.3766906233,7.82191931736573e-148,7.99906278425901e-146,329.446153040054
"RFWD3",-3.55377259196147,1.69963037006853,-13303.8882877738,6.32414400424338e-151,1.69146528482725e-148,336.374607972807
"IL17RA",-3.55196803701723,1.69876732205172,-12596.4227048045,7.51211062118577e-150,1.45108936832572e-147,333.97856067451
"SGOL2",-3.54829202853417,1.69700923103808,-11491.0716696039,4.81032443477985e-148,5.39532195475147e-146,329.922404547842
"MYRIP",-3.54502737118171,1.69544787317386,-10487.5164836019,3.01705038281037e-146,1.87326503232708e-144,325.855217599027
"CTSV",-3.537613567501,1.69190214097874,-9321.73186795011,6.2700899140052e-144,1.92080199392036e-142,320.572474619458
"MAD2L1",-3.53401386854379,1.69018054582529,-8952.53600651918,3.90942153138951e-143,9.31692786480209e-142,318.752305545635
"APOL1",-3.53243125038585,1.68942364148888,-10362.981853049,5.18246177497396e-146,3.00323659859741e-144,325.321522354448
"DTWD1",-3.52457433820324,1.68566598783633,-12434.1229521316,1.35154487691991e-149,2.34966076852526e-147,333.407938292872
"FNBP4",-3.52400455620098,1.68539348340047,-10671.6813169313,1.37148837939847e-146,9.63366685892625e-145,326.632148495395
"HSP90AB1",-3.51894994465701,1.68297606048814,-13440.4710445932,3.98204388017178e-151,1.10764532570858e-148,336.820914996836
"HSPA13",-3.51649737185281,1.68180309088613,-12103.5192941217,4.57999665721929e-149,6.63527015714645e-147,332.219887236233
"CSTA",-3.51393339799371,1.68057684251873,-13755.3645487224,1.39511729856148e-151,5.29489822882125e-149,337.830913011781
"LAMC2",-3.50614955933586,1.67685413707367,-10228.5091560321,9.3633464913918e-146,4.89569259407057e-144,324.737485205236
"MYO10",-3.50461759386796,1.67612145793685,-10105.5727269617,1.6190486424769e-145,7.65909133318666e-144,324.196337138433
"RWDD3",-3.5000850028873,1.67395369703305,-8852.1024873367,6.5164400626965e-143,1.49755021060275e-141,318.243468439913
"NPAS2",-3.49346390933289,1.67078708707225,-10103.0755743782,1.63727161477915e-145,7.69296406025283e-144,324.185272439127
"ITGB2-AS1",-3.4855607583841,1.66700731922718,-10209.9573434939,1.01656956270313e-145,5.27554085002804e-144,324.656268660289
"ARHGAP9",-3.48371388305668,1.66612403102711,-8384.65973983451,7.60421375827241e-142,1.26506465251259e-140,315.792657674688
"CRISPLD2",-3.48359687110902,1.66606806879127,-12509.3764383993,1.02837498682548e-149,1.88192622589064e-147,333.673529982385
"CD48",-3.48310380054673,1.66583225243539,-7048.42662025365,1.97473058413099e-138,1.41569860639659e-137,307.912302263529
"KLC4",-3.47742487453687,1.66311624434372,-8285.53763787387,1.30304214430833e-141,2.02262389989289e-140,315.254587610918
"CXCL9",-3.47496780861332,1.66194112585854,-11447.518312984,5.71299318172179e-148,6.20752415401459e-146,329.753981607181
"PRSS16",-3.47399051262349,1.66147372342863,-10579.5802964835,2.03084558415451e-146,1.30763890668616e-144,326.245416241827
"HSD17B2",-3.46957462550857,1.65936177741714,-10230.9535236748,9.26256646647124e-146,4.87968842483644e-144,324.748174492451
"DNAAF2",-3.46922606665499,1.65919507535673,-10582.9938043766,2.00139055249034e-146,1.30421376509559e-144,326.259813869206
"ZCCHC2",-3.46551370911737,1.65741960001266,-11190.8074228449,1.59570633568421e-147,1.46007129715105e-145,328.746961760367
"STRN3",-3.45992329791047,1.65474592508762,-9341.22399379562,5.70412308019634e-144,1.7787655560397e-142,320.666449087473
