1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19569805264472961,0.18536129593849182,0.1885678768157959,0.1812058389186859,0.18838173151016235,0.19342714548110962,0.188913494348526,0.18520987033843994,0.16129422187805176,0.18197816610336304,0.17419862747192383,0.16245731711387634,0.19509312510490417,0.18733727931976318,0.19282129406929016,0.18837758898735046,0.17280501127243042,0.18701797723770142,0.18322151899337769,0.17937329411506653,0.18278566002845764,0.18022707104682922
A2M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.932206153869629,6.932527542114258,6.942578315734863,6.923977851867676,6.941946029663086,6.943634510040283,6.938788414001465,6.93106746673584,6.938135623931885,6.931061267852783,6.9361572265625,6.923234462738037,6.937040328979492,6.941239356994629,6.947174549102783,6.940293312072754,6.939886093139648,6.951161861419678,6.923296928405762,6.918370246887207,6.915755271911621,6.929671764373779
AADAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3467286229133606,0.33400022983551025,0.3549812138080597,0.3420550525188446,0.3497694730758667,0.3400309681892395,0.34656184911727905,0.33300158381462097,0.3391406834125519,0.3311414122581482,0.34217607975006104,0.3493976294994354,0.3448604643344879,0.34240275621414185,0.34705543518066406,0.34964463114738464,0.35525286197662354,0.3468749523162842,0.34629714488983154,0.3394089937210083,0.34973326325416565,0.34409499168395996
AAED1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.321005821228027,6.306824684143066,6.323601722717285,6.308263778686523,6.296680450439453,6.317934513092041,6.322649002075195,6.320285797119141,6.3036675453186035,6.299090385437012,6.319563865661621,6.319849967956543,6.308035373687744,6.324469566345215,6.340626239776611,6.313963413238525,6.316506385803223,6.315361499786377,6.318307399749756,6.3120927810668945,6.323675155639648,6.324962615966797
AASDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398085594177246,5.382708549499512,5.396987438201904,5.38377571105957,5.393274307250977,5.391450881958008,5.386291027069092,5.387054443359375,5.36536169052124,5.388095855712891,5.387341499328613,5.379584312438965,5.3901824951171875,5.4019317626953125,5.387815475463867,5.373478412628174,5.3954973220825195,5.384035110473633,5.407777786254883,5.394321918487549,5.383218765258789,5.395909309387207
ABAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3484206199645996,3.3508553504943848,3.3458383083343506,3.3554179668426514,3.3405537605285645,3.3501102924346924,3.346149206161499,3.343848705291748,3.3397181034088135,3.347257137298584,3.331958055496216,3.341791868209839,3.335878849029541,3.355790376663208,3.3379476070404053,3.3222475051879883,3.3582117557525635,3.3368964195251465,3.3347952365875244,3.3419055938720703,3.3331332206726074,3.3328096866607666
ABCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2907118797302246,2.2784879207611084,2.2716939449310303,2.28658127784729,2.277041435241699,2.288278102874756,2.2749974727630615,2.2964563369750977,2.28957462310791,2.276459217071533,2.281233787536621,2.29152250289917,2.278137445449829,2.2839770317077637,2.2861602306365967,2.279618740081787,2.283836841583252,2.2924888134002686,2.2843713760375977,2.285377025604248,2.2794106006622314,2.266096830368042
ABCA12,8.32012939453125,8.695869445800781,8.522430419921875,8.171503067016602,7.925944805145264,8.175159454345703,8.60934829711914,7.583932876586914,7.806142330169678,8.222253799438477,7.770092010498047,8.080723762512207,8.249911308288574,7.969532012939453,7.830306053161621,8.618963241577148,8.33244800567627,8.838376998901367,8.272428512573242,7.762516021728516,8.609260559082031,7.546859264373779,8.420495986938477,8.061819076538086,6.1720428466796875,6.182572841644287,6.172983169555664,6.165288925170898,6.175057888031006,6.173925399780273,6.154021263122559,6.183655738830566,6.179129600524902,6.160380840301514,6.140429973602295,6.164073944091797,6.1752424240112305,6.167571544647217,6.181617736816406,6.171353816986084,6.158096790313721,6.1895575523376465,6.164936065673828,6.1800103187561035,6.144896984100342,6.171745300292969
ABCA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272953748703003,2.2818729877471924,2.2640089988708496,2.288938522338867,2.2829067707061768,2.284203290939331,2.2729949951171875,2.2861313819885254,2.2842421531677246,2.2646644115448,2.2729177474975586,2.274777412414551,2.2858262062072754,2.2857704162597656,2.2806589603424072,2.2796146869659424,2.282867670059204,2.2854604721069336,2.272371292114258,2.2818074226379395,2.272703170776367,2.2817556858062744
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5688633918762207,3.5588080883026123,3.5671277046203613,3.5839741230010986,3.566985845565796,3.5529282093048096,3.569310188293457,3.567819356918335,3.5737273693084717,3.5698466300964355,3.56001615524292,3.566227674484253,3.5636043548583984,3.578742027282715,3.573370933532715,3.558713436126709,3.579070568084717,3.5770344734191895,3.5730066299438477,3.572378396987915,3.5564680099487305,3.576357364654541
